from_route_family_ref,to_route_family_ref,shell_slug,adjacency_type,history_policy,anchor_disposition_ref,focus_disposition_ref,default_return_posture,source_refs
rf_staff_workspace_child,rf_staff_workspace_child,clinical-workspace,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/forensic-audit-findings.md
rf_support_ticket_workspace,rf_support_ticket_workspace,support-workspace,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_ticket_workspace,rf_support_replay_observe,support-workspace,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_support_replay_observe,rf_support_ticket_workspace,support-workspace,same_object_child,replace,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_support_replay_observe,rf_support_replay_observe,support-workspace,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-operations-and-support-blueprint.md
rf_operations_board,rf_operations_board,ops-console,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_board,rf_operations_drilldown,ops-console,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_operations_drilldown,rf_operations_board,ops-console,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_operations_drilldown,rf_operations_drilldown,ops-console,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/operations-console-frontend-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,rf_hub_queue,hub-desk,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_queue,rf_hub_case_management,hub-desk,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,rf_hub_queue,hub-desk,same_object_peer,push,preserve,restore_selected_anchor,partial_restore,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_hub_case_management,rf_hub_case_management,hub-desk,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/platform-frontend-blueprint.md | blueprint/phase-5-the-network-horizon.md | blueprint/ux-quiet-clarity-redesign.md
rf_governance_shell,rf_governance_shell,governance-console,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/platform-frontend-blueprint.md | blueprint/governance-admin-console-frontend-blueprint.md | blueprint/forensic-audit-findings.md
rf_pharmacy_console,rf_pharmacy_console,pharmacy-console,same_route,none,preserve,restore_selected_anchor,full_restore,blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/platform-frontend-blueprint.md | blueprint/pharmacy-console-frontend-architecture.md | blueprint/ux-quiet-clarity-redesign.md
