component_id,display_name,primitive_family,atlas_section,surface_role,shell_types,route_family_refs,specimen_ids,token_refs,kernel_binding_refs,api_signature,visualization_parity
InputFieldFrame,Input Field Frame,control,controls,control,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,Patient_Mission_Frame|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.radius.sm|ref.density.control.public,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_PATIENT_V1|dcpb::patient_public_entry::planned|SSKB_050_RF_INTAKE_SELF_SERVICE_V1|AAM_050_RF_INTAKE_SELF_SERVICE_V1|ASCP_050_RF_INTAKE_SELF_SERVICE_V1,"InputFieldFrame({ label, value, placeholder, state, hint })",not_applicable
TextareaFrame,Textarea Frame,control,controls,control,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,Patient_Mission_Frame|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.radius.md|ref.space.12,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_PATIENT_V1|dcpb::patient_public_entry::planned|SSKB_050_RF_INTAKE_SELF_SERVICE_V1|AAM_050_RF_INTAKE_SELF_SERVICE_V1|ASCP_050_RF_INTAKE_SELF_SERVICE_V1,"TextareaFrame({ label, value, placeholder, state, hint })",not_applicable
SelectFrame,Select Frame,control,controls,control,patient|staff|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.radius.sm|ref.density.control.professional,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"SelectFrame({ label, options, value, state })",not_applicable
CheckboxRadioFrame,Checkbox Radio Frame,control,controls,control,patient|governance,rf_patient_home|rf_governance_shell|rf_intake_self_service,Patient_Mission_Frame|Governance_Approval_Frame,ref.color.border.default|ref.color.surface.panel|ref.radius.md|ref.type.role.body.sm,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_PATIENT_V1|dcpb::patient_public_entry::planned|SSKB_050_RF_INTAKE_SELF_SERVICE_V1|AAM_050_RF_INTAKE_SELF_SERVICE_V1|ASCP_050_RF_INTAKE_SELF_SERVICE_V1,"CheckboxRadioFrame({ legend, kind, options, selectedValues })",not_applicable
LoadingSkeleton,Loading Skeleton,calm-state,state-postures,state,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,,ref.color.surface.inset|ref.motion.duration.reveal|ref.motion.scale.low|ref.radius.md,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,LoadingSkeleton({ label }),not_applicable
EmptyStateFrame,Empty State Frame,calm-state,state-postures,state,patient|staff|support,rf_patient_home|rf_staff_workspace|rf_support_ticket_workspace,,ref.color.surface.panel|ref.radius.md|ref.space.16|ref.type.role.body,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_TICKET_WORKSPACE_V1|AAM_050_RF_SUPPORT_TICKET_WORKSPACE_V1|ASCP_050_RF_SUPPORT_TICKET_WORKSPACE_V1,"EmptyStateFrame({ title, body, actionLabel })",not_applicable
StaleStateFrame,Stale State Frame,calm-state,state-postures,state,operations|governance|support,rf_operations_board|rf_governance_shell|rf_support_replay_observe,,ref.color.accent.review|ref.color.surface.panel|ref.radius.md|ref.space.16,PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_REPLAY_OBSERVE_V1|AAM_050_RF_SUPPORT_REPLAY_OBSERVE_V1|ASCP_050_RF_SUPPORT_REPLAY_OBSERVE_V1,"StaleStateFrame({ title, body, freshnessLabel })",not_applicable
BlockedStateFrame,Blocked State Frame,calm-state,state-postures,state,operations|governance|support,rf_operations_board|rf_governance_shell|rf_support_replay_observe,,ref.color.accent.danger|ref.color.surface.panel|ref.radius.md|ref.space.16,PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_REPLAY_OBSERVE_V1|AAM_050_RF_SUPPORT_REPLAY_OBSERVE_V1|ASCP_050_RF_SUPPORT_REPLAY_OBSERVE_V1,"BlockedStateFrame({ title, body, recoveryActionLabel })",not_applicable
RecoveryStateFrame,Recovery State Frame,calm-state,state-postures,state,patient|support|governance,rf_patient_secure_link_recovery|rf_support_replay_observe|rf_governance_shell,,ref.color.accent.success|ref.color.surface.panel|ref.radius.md|ref.space.16,PSR_050_PATIENT_V1|dcpb::patient_transaction_recovery::planned|SSKB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1|AAM_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1|ASCP_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1|PSR_050_SUPPORT_V1|dcpb::support_workspace::planned|SSKB_050_RF_SUPPORT_REPLAY_OBSERVE_V1|AAM_050_RF_SUPPORT_REPLAY_OBSERVE_V1|ASCP_050_RF_SUPPORT_REPLAY_OBSERVE_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"RecoveryStateFrame({ title, body, helperText })",not_applicable
PlaceholderArtifactFrame,Placeholder Artifact Frame,calm-state,state-postures,artifact,patient|operations|governance,rf_patient_home|rf_operations_board|rf_governance_shell,,ref.color.surface.inset|ref.radius.lg|ref.type.role.mono.sm|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"PlaceholderArtifactFrame({ title, postureLabel, metadata })",not_applicable
ComparisonLedger,Comparison Ledger,visualization,visualization,artifact,operations|governance,rf_operations_board|rf_governance_shell,Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.space.16|ref.radius.md,PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"ComparisonLedger({ title, rows, summary })",summary_and_table_fallback
BoundedVisualizationPanel,Bounded Visualization Panel,visualization,visualization,table,operations|governance,rf_operations_board|rf_governance_shell,Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.space.16|ref.radius.md,PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"BoundedVisualizationPanel({ title, summary, tableCaption, data, tone })",summary_and_table_fallback
