capability_id,scope_category,capability_name,classification,baseline_required,phase_ids,phase_titles,visibility,why_it_exists,scope_statement,acceptance_implication,dependency_summary,dependencies_json,source_refs,related_decision_ids,notes
ng_auth_implies_claim_or_consent,identity and access,"Authentication standing in for claim, authorization, or consent",prohibited_architecture_pattern,no,cross_phase; phase_0; phase_2,Cross-phase; The Foundation Protocol; Identity and Echoes,patient; staff; governance,"The corpus distinguishes login, claim, authorization, consent, and break-glass as separate governed decisions.","NHS login success, secure-link redemption, or staff sign-in may not directly imply request claim, writable resume, clinical authorization, or consent scope.",Reject any user story or API flow that uses successful authentication as the sole gate for PHI-bearing mutation or cross-provider consent.,NHS login rail (required_baseline),"[{""name"": ""NHS login rail"", ""reason"": ""The prohibition applies to a baseline dependency."", ""status"": ""required_baseline""}]","blueprint-init.md#10. Identity, consent, security, and policy; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 50 - The concrete Request schema dropped identity-binding references and treated patientRef as unconditional",DECISION_SCOPE_007,
ng_auto_merge_duplicates_without_review,intake and safety,Auto-merge duplicate requests without governed review,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_3,Cross-phase; The Foundation Protocol; The Human Checkpoint,patient; staff,"Duplicate handling is conservative clustering and review work, not silent merge logic.","Vecells may not auto-merge same-episode or near-duplicate requests without governed duplicate review, attach evidence, and continuity witness proof.",Reject any proposal that collapses near-duplicates into a single request without explicit duplicate resolution and replay-safe audit.,No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#Clinical workspace and operational workflow; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 05 - No conservative duplicate and same-episode control,DECISION_SCOPE_011,
ng_direct_request_state_writes_from_child_domains,runtime/release control plane,Direct request workflow-state or closure writes from child domains,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_4; phase_5; phase_6,Cross-phase; The Foundation Protocol; The Booking Engine; The Network Horizon; The Pharmacy Loop,patient; staff; ops; governance,LifecycleCoordinator ownership is one of the hardened cross-phase invariants from the prior reconciliation work.,"Booking, hub, pharmacy, triage, and other child domains may emit milestones, blockers, and evidence, but they may not write canonical Request.workflowState or closure directly.","Reject any domain design or event handler that maps local success, ambiguity, or reopen semantics straight into request-level workflowState or closure.",No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#3. The canonical request model; phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 74 - Phase 4 let booking-domain logic write canonical request state directly on success; forensic-audit-findings.md#Finding 76 - Phase 5 let hub-domain logic write canonical request state directly; forensic-audit-findings.md#Finding 77 - Phase 6 let pharmacy-domain logic write canonical request state directly on resolve and reopen paths,DECISION_SCOPE_009,
ng_supplier_logic_in_core_domain,external integrations/adapters,Supplier-specific booking or business logic baked into the core model,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_4; phase_5; phase_6,Cross-phase; The Foundation Protocol; The Booking Engine; The Network Horizon; The Pharmacy Loop,patient; staff; ops,"Supplier variability is real, but the core model must remain Vecells-first and adapter-bound.","Supplier-specific search, reservation, booking, directory, dispatch, or transport logic may not be hard-coded into canonical request, queue, or patient-surface semantics.","Reject any change that adds vendor names, one-off transport branches, or supplier payload truth directly to core workflow decisions or patient copy.",No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#1. Product definition; blueprint-init.md#6. Booking and access continuity; platform-runtime-and-release-blueprint.md#AdapterContractProfile; phase-0-the-foundation-protocol.md#25E. BookingProviderAdapterBinding,DECISION_SCOPE_004; DECISION_SCOPE_012,
ng_false_reservation_truth_from_countdown,local booking,Countdown or pending UI implying exclusive booking truth,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_4,Cross-phase; The Foundation Protocol; The Booking Engine,patient; staff,Reservation truth is a hard non-goal guardrail called out by the audit and booking flow.,"Countdown timers, pending UI, or offer expiry copy may not imply exclusivity unless ReservationAuthority and CapacityReservation prove a held reservation.","Reject any booking or waitlist UI that suggests the slot is held when the current reservation state is only soft-selected, pending, or absent.",No external dependency because the capability is intentionally excluded or prohibited.,[],phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 30 - Offer and hold semantics could imply false exclusivity; vecells-complete-end-to-end-flow.md#Booking flow,DECISION_SCOPE_010,
ng_optimistic_booked_reassurance,local booking,Booked-state reassurance from ambiguous supplier confirmation,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_4; phase_5,Cross-phase; The Foundation Protocol; The Booking Engine; The Network Horizon,patient; staff,Booking calmness must remain subordinate to external confirmation truth and practice visibility debt.,"Vecells may not imply booked calmness when supplier or hub confirmation remains ambiguous, stale, expired, disputed, or otherwise unresolved by the canonical truth projection.",Reject any final patient or staff reassurance that appears before ExternalConfirmationGate clears and the governing truth projection still matches the active tuple.,No external dependency because the capability is intentionally excluded or prohibited.,[],phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; forensic-audit-findings.md#Finding 31 - Ambiguous supplier responses could still look like success; forensic-audit-findings.md#Finding 34 - Hub coordination was oversimplified into book or not-book,DECISION_SCOPE_010,
ng_direct_gp_record_mutation_for_pharmacy,pharmacy referral loop,Direct GP record mutation by Vecells inside Pharmacy First flow,explicitly_out_of_scope,no,cross_phase; phase_6,Cross-phase; The Pharmacy Loop,patient; staff,"The pharmacy boundary is referral, dispatch, and outcome reconciliation, not pretending to be the pharmacy or GP clinical record.","Vecells does not directly mutate GP records as part of Pharmacy First; it composes referral packages, dispatches them through approved rails, and reconciles outcomes back into governed workflow.",Reject any pharmacy plan that uses Vecells as the hidden write model for direct GP record updates rather than a referral and reconciliation platform.,No external dependency because the capability is intentionally excluded or prohibited.,[],blueprint-init.md#7. Pharmacy First pathway; phase-cards.md#Card 7: Phase 6 - The Pharmacy Loop,DECISION_SCOPE_005,
ng_mandatory_ai_or_autonomous_decisioning,assistive layer,Mandatory AI gate or autonomous clinical/operational decision-maker,explicitly_out_of_scope,no,cross_phase; phase_3; phase_8,Cross-phase; The Human Checkpoint; The Assistive Layer,staff,Assistive capability is intentionally bounded and may not become the primary decision owner.,"AI assistance may not be mandatory for request progression or clinical decisioning, and no assistive output may commit authoritative workflow change without governed human approval.",Reject any requirement that blocks ordinary care-path completion on model availability or that authorizes autonomous clinical or operational settlement.,No external dependency because the capability is intentionally excluded or prohibited.,[],vecells-complete-end-to-end-flow.md#Baseline invariants; phase-8-the-assistive-layer.md#System after Phase 8; forensic-audit-findings.md#Finding 17 - AI assistance was modeled as a mandatory linear stage,DECISION_SCOPE_008,
ng_control_plane_as_post_hoc_add_on,analytics and continuity evidence,"Treating analytics, assurance, recovery, support, or governance as post-hoc add-ons",prohibited_architecture_pattern,no,cross_phase; phase_0; phase_9,Cross-phase; The Foundation Protocol; The Assurance Ledger,staff; ops; governance,"The corpus explicitly promotes analytics, assurance, recovery, support, and governance into baseline delivery scope.","Analytics, assurance, continuity proof, recovery rehearsal, support, and governance must remain product baseline scope and may not be deferred to a post-launch hardening project.","Reject roadmap slicing that declares the core product complete without the control-plane work needed to operate, prove, and recover it.",No external dependency because the capability is intentionally excluded or prohibited.,[],"blueprint-init.md#11. Analytics and assurance; phase-cards.md#Programme Baseline Update (NHS App Deferred); phase-9-the-assurance-ledger.md#Rule 1: evidence comes from the system, not from retrospective narrative",DECISION_SCOPE_006,
cap_optional_pds_enrichment,identity and access,Optional PDS enrichment layered onto governed identity binding,future_optional,no,phase_2; cross_phase,Identity and Echoes; Cross-phase,patient; staff,The baseline identity model is already defined without requiring another external demographic enrichment source.,"Any future PDS enrichment must remain optional and additive to IdentityBinding rather than becoming the sole authority for patientRef, claim, or writable resume.",A later PDS project belongs in conditional scope and must still preserve verified IdentityBinding as the canonical local authority.,Personal Demographics Service adapter (optional); PDS sandbox or simulator (replaceable_by_simulator),"[{""name"": ""Personal Demographics Service adapter"", ""reason"": ""Potential enrichment rail rather than baseline requirement."", ""status"": ""optional""}, {""name"": ""PDS sandbox or simulator"", ""reason"": ""Contract testing can proceed without live dependency access."", ""status"": ""replaceable_by_simulator""}]","phase-0-the-foundation-protocol.md#3. Non-negotiable invariants; blueprint-init.md#10. Identity, consent, security, and policy",DECISION_SCOPE_013,Conditional future enrichment. Must not replace local governed identity authority.
cap_model_vendor_assistive_rollout,assistive layer,Model-vendor-backed assistive rollout cohorts beyond the baseline floor,future_optional,no,phase_8; cross_phase,The Assistive Layer; Cross-phase,staff; governance,"Phase 8 establishes the bounded assistive capability, but broad vendor- and cohort-specific rollout remains conditional on trust, safety, and route fit.","Specific model-vendor-backed assistive cohorts may expand later only through rollout slice contracts, trust envelopes, freeze controls, and independent safety review.","A request to widen assistive visibility across tenants, routes, or cohorts belongs in conditional rollout scope, not in the baseline core definition.",Model vendor contract (feature_flagged); Assistive rollout ladder (required_baseline); Kill switch and freeze controls (required_baseline),"[{""name"": ""Model vendor contract"", ""reason"": ""Visible cohorts remain vendor- and route-specific."", ""status"": ""feature_flagged""}, {""name"": ""Assistive rollout ladder"", ""reason"": ""Conditional expansion still depends on the governed rollout mechanism."", ""status"": ""required_baseline""}, {""name"": ""Kill switch and freeze controls"", ""reason"": ""Conditional widening must fail closed."", ""status"": ""required_baseline""}]","phase-8-the-assistive-layer.md#Pilot rollout, controlled slices, and formal exit gate; phase-8-the-assistive-layer.md#System after Phase 8",DECISION_SCOPE_008; DECISION_SCOPE_012,"Conditional cohort expansion. Baseline requires the control plane, not universal visible rollout."
cap_supplier_specific_capability_expansion,external integrations/adapters,Supplier-specific capability expansion hidden behind adapter seams,future_optional,no,phase_4; phase_5; phase_6; cross_phase,The Booking Engine; The Network Horizon; The Pharmacy Loop; Cross-phase,patient; staff; ops,"Baseline delivery requires common adapter-bound capability, while richer supplier-specific features remain conditional.","Supplier-specific extras such as richer manage support, additional hold semantics, or provider-specific workflow conveniences belong only behind adapter capability contracts and may expand later without redefining the core model.",A request for one supplier-only feature belongs in conditional scope unless the same behavior is normalized into the published adapter contract and does not leak supplier truth into the core domain.,Supplier capability matrix updates (optional); Supplier sandbox or simulator (replaceable_by_simulator),"[{""name"": ""Supplier capability matrix updates"", ""reason"": ""Expansion depends on newly declared capability support."", ""status"": ""optional""}, {""name"": ""Supplier sandbox or simulator"", ""reason"": ""Contract-level validation may precede production pairing."", ""status"": ""replaceable_by_simulator""}]",blueprint-init.md#6. Booking and access continuity; platform-runtime-and-release-blueprint.md#AdapterContractProfile; phase-0-the-foundation-protocol.md#25E. BookingProviderAdapterBinding,DECISION_SCOPE_004; DECISION_SCOPE_012,Conditional adapter-layer expansion only. Core request semantics stay vendor-agnostic.
ng_direct_browser_to_adapter_or_internal_service_access,runtime/release control plane,Direct browser access to adapters or undeclared internal services,prohibited_architecture_pattern,no,cross_phase; phase_0; phase_9,Cross-phase; The Foundation Protocol; The Assurance Ledger,patient; staff; ops; governance,"The browser boundary is a published gateway/BFF contract, not a convenience integration surface.","Browsers may talk only to the governed gateway or BFF boundary; they may not call GP, telephony, messaging, pharmacy, MESH, workflow, or raw data services directly.","Reject any frontend design or release shortcut that bypasses GatewayBffSurface, AudienceSurfaceRouteContract, or published runtime topology boundaries.",No external dependency because the capability is intentionally excluded or prohibited.,[],platform-frontend-blueprint.md#Frontend/backend integration boundary contract; platform-runtime-and-release-blueprint.md#Runtime rules; phase-0-the-foundation-protocol.md#2.9 Runtime publication plane,DECISION_SCOPE_011,
