transition_id,machine_id,canonical_name,from_state,to_state,trigger,guards,authoritative_proofs,degraded_posture_if_missing,closure_blocker_interactions,related_objects,source_refs
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_CONFIRMED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,in_review,resolved_confirmed,Review confirms same-episode or attach behavior under explicit continuity witness.,DecisionClass is exact_retry_collapse or same_episode_link; Winning pair evidence and continuity witness are current,DuplicateResolutionDecision(decisionState = applied),blocked / recovery_only,,DuplicateResolutionDecision; DuplicatePairEvidence,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_SEPARATE,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,in_review,resolved_separate,Review confirms the incoming item must remain a separate request.,DecisionClass = separate_request,DuplicateResolutionDecision(decisionState = applied),blocked / recovery_only,,DuplicateResolutionDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_RELATED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,in_review,resolved_related,Review confirms related-episode linkage without same-request attachment.,DecisionClass = related_episode_link,DuplicateResolutionDecision(decisionState = applied),blocked / recovery_only,,DuplicateResolutionDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_RETRY,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,in_review,resolved_retry,Review confirms exact retry collapse.,DecisionClass = exact_retry_collapse,DuplicateResolutionDecision(decisionState = applied),blocked / recovery_only,,DuplicateResolutionDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_DUPLICATE_CLUSTER_STATUS__OPEN__SUPERSEDED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,open,superseded,A newer cluster or resolution supersedes the current review container.,Superseding cluster or decision exists,DuplicateResolutionDecision(decisionState = superseded),blocked / recovery_only,,DuplicateResolutionDecision,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_FALLBACK_REVIEW_CASE__DRAFT_RECOVERABLE__SUBMITTED_DEGRADED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,draft_recoverable,submitted_degraded,Accepted user progress cannot complete automatically and degrades into governed review.,"Automated ingest, safety, or dependency path failed after progress was accepted",FallbackReviewCase; patient.receipt.degraded event,blocked / recovery_only,Fallback review remains closure-blocking while open,FallbackReviewCase,phase-0-the-foundation-protocol.md#1.20 FallbackReviewCase; forensic-audit-findings.md#Finding 62 - The event catalogue lacked degraded receipt events
SM_FALLBACK_REVIEW_CASE__SUBMITTED_DEGRADED__UNDER_MANUAL_REVIEW,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,submitted_degraded,under_manual_review,Manual owner picks up degraded accepted progress.,Fallback queue ownership exists,exception.review_case.opened event; RequestLifecycleLease,blocked / recovery_only,,RequestLifecycleLease,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_FALLBACK_REVIEW_CASE__UNDER_MANUAL_REVIEW__RECOVERED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,under_manual_review,recovered,Manual review repairs the degraded path without losing lineage.,Recovery path is settled on the same lineage,exception.review_case.recovered event,blocked / recovery_only,,CommandSettlementRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_FALLBACK_REVIEW_CASE__RECOVERED__CLOSED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,recovered,closed,Recovered case is acknowledged and no longer blocks closure.,Recovery is durable and any downstream blocker has been cleared or superseded,FallbackReviewClosureRecord,blocked / recovery_only,,RequestClosureRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__RELEASING,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,active,releasing,Current owner intentionally releases the lease.,Compare-and-set on current ownershipEpoch and fencingToken succeeds,RequestLifecycleLease; LeaseReleaseRecord,blocked / recovery_only,"Any active, releasing, expired, or broken lease blocks closure",StaleOwnershipRecoveryRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_LIFECYCLE_LEASE__RELEASING__RELEASED,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,releasing,released,Release is durably committed or replaced by a newer lease.,Replacement lease or release settlement is current,LeaseTakeoverRecord | LeaseReleaseRecord,blocked / recovery_only,,LeaseTakeoverRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__EXPIRED,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,active,expired,Heartbeat misses the TTL.,No supervised release or takeover has yet settled,StaleOwnershipRecoveryRecord(recoveryReason = heartbeat_missed),stale_owner_recovery,Expired lease remains closure-blocking until recovered,StaleOwnershipRecoveryRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__BROKEN,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,active,broken,A stale write or supervised takeover breaks the lease.,Write fence mismatch or takeover authorization exists,StaleOwnershipRecoveryRecord; LeaseTakeoverRecord,stale_owner_recovery,Broken lease remains closure-blocking until resolved,StaleOwnershipRecoveryRecord; LeaseTakeoverRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_CLOSURE_DECISION__DEFER__CLOSE,SM_REQUEST_CLOSURE_DECISION,RequestClosureRecord.decision,defer,close,A later coordinator evaluation finds the blocker set empty on the required lineage epoch.,"blockingLeaseRefs, blockingDuplicateClusterRefs, blockingFallbackCaseRefs, blockingIdentityRepairRefs, blockingGrantRefs, blockingReachabilityRefs, blockingConfirmationRefs, and blockingReconciliationRefs are all empty; requiredLineageEpoch matches the current LineageFence",RequestClosureRecord(decision = close); request.closure_blockers.changed -> empty,blocked / recovery_only,,DuplicateCluster; FallbackReviewCase; IdentityBinding; AccessGrant; ExternalConfirmationGate,phase-0-the-foundation-protocol.md#1.12 RequestClosureRecord; forensic-audit-findings.md#Finding 71 - Closure evaluation did not explicitly assert empty coordinator-materialized blocker sets
SM_CAPACITY_RESERVATION_STATE__NONE__SOFT_SELECTED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,none,soft_selected,A candidate is selected but no real exclusivity exists yet.,Selection context exists on the current candidate set,OfferSession | AlternativeOfferSession,blocked / recovery_only,,ReservationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__SOFT_SELECTED__HELD,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,soft_selected,held,A true exclusive hold is acquired.,CapacityIdentity is strong enough for exclusivity; commitMode = exclusive_hold,CapacityReservation(state = held),blocked / recovery_only,,ReservationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__SOFT_SELECTED__PENDING_CONFIRMATION,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,soft_selected,pending_confirmation,The system is confirming a nonexclusive or weakly-held selection.,Visible claim remains truthful and not exclusive,ReservationTruthProjection(truthState = pending_confirmation),blocked / recovery_only,,ReservationTruthProjection; CommandSettlementRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__HELD__PENDING_CONFIRMATION,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,held,pending_confirmation,Commit begins and waits for authoritative booking confirmation.,Current reservation version remains live,BookingTransaction; ReservationTruthProjection(truthState = pending_confirmation),blocked / recovery_only,,BookingTransaction; ReservationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__PENDING_CONFIRMATION__CONFIRMED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,pending_confirmation,confirmed,Authoritative confirmation lands for the same reservation lineage.,External confirmation gate or strong proof is satisfied,BookingConfirmationTruthProjection(confirmationTruthState = confirmed),blocked / recovery_only,,ExternalConfirmationGate; BookingConfirmationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__HELD__RELEASED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,held,released,The hold is intentionally released.,Supersession or cancellation reason is current,CapacityReservation(releasedAt != null),blocked / recovery_only,,ReservationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__HELD__EXPIRED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,held,expired,A real hold TTL expires.,expiresAt has passed,CapacityReservation(state = expired),blocked / recovery_only,,ReservationTruthProjection,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_CAPACITY_RESERVATION_STATE__PENDING_CONFIRMATION__DISPUTED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,pending_confirmation,disputed,Confirmation evidence becomes contradictory or stale on the same reservation version.,Reservation truth-basis check fails or competing evidence exists,ReservationTruthProjection(truthState = disputed); ExternalConfirmationGate(state = disputed),blocked / recovery_only,,ReservationTruthProjection; ExternalConfirmationGate,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__CONFIRMED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,pending,confirmed,Required hard matches pass and corroboration reaches the confirmation threshold.,Every required hard match passes; Weak/manual paths have corroboration from at least two source families,confirmation.gate.confirmed event; GateEvidenceBundle,blocked / recovery_only,,BookingTransaction; HubCommitAttempt; PharmacyDispatchAttempt,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__EXPIRED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,pending,expired,The confirmation deadline passes without sufficient corroboration.,confirmationDeadlineAt is reached before confirmation threshold,confirmation.gate.expired event,reconciliation_required,Gate remains a closure blocker until reviewed or superseded,BookingCase; HubCoordinationCase; PharmacyCase,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__DISPUTED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,pending,disputed,Contradictory evidence or competing gates prevent safe confirmation.,"Hard-match failure, contradictory evidence, or competing-gate ambiguity exists",confirmation.gate.disputed event; NegativeEvidenceBundle,review_required,Gate remains a closure blocker until resolved or downgraded under policy,BookingCase; HubCoordinationCase; PharmacyDispatchAttempt,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__CANCELLED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,pending,cancelled,The owning branch is cancelled or superseded before confirmation completes.,Owning branch has a newer authoritative attempt or termination reason,confirmation.gate.cancelled event,blocked / recovery_only,,BookingTransaction; HubCommitAttempt; PharmacyDispatchAttempt,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ROUTE_INTENT_BINDING__LIVE__STALE,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,live,stale,"Session, subject binding, manifest, or release tuple drifts from the bound target tuple.",Current authoritative tuple no longer matches routeIntentTupleHash,RouteIntentDriftAssessment; ReleaseRecoveryDisposition,same-shell stale_recoverable,,Session; AudienceSurfaceRuntimeBinding,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ROUTE_INTENT_BINDING__STALE__RECOVERY_ONLY,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,stale,recovery_only,A stale route can no longer safely remain writable or read-only under the old tuple.,Fresh explicit disambiguation or reissue is still pending,RouteIntentBinding(bindingState = recovery_only),recovery_only,,CommandSettlementRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_ROUTE_INTENT_BINDING__LIVE__SUPERSEDED,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,live,superseded,A new route intent replaces the prior tuple.,Replacement route intent is authoritative,RouteIntentSupersessionRecord,blocked / recovery_only,,CommandActionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__PROJECTION_PENDING,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,projection_pending,Command applied but downstream projection visibility has not yet caught up.,Action record is immutable and current,CommandSettlementRecord(result = projection_pending),blocked / recovery_only,,CommandActionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__AWAITING_EXTERNAL,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,awaiting_external,External evidence or acceptance is required before settlement can calm down.,The same action chain is still live,CommandSettlementRecord(result = awaiting_external),blocked / recovery_only,,ExternalConfirmationGate,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__REVIEW_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,review_required,Authoritative review is required before safe completion.,Review reason is authoritative,CommandSettlementRecord(result = review_required),blocked / recovery_only,,ApprovalCheckpoint; DuplicateCluster,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__STALE_RECOVERABLE,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,stale_recoverable,The bound tuple or context has drifted but same-shell recovery is still legal.,sameShellRecoveryRef exists,CommandSettlementRecord(result = stale_recoverable),same-shell recovery,,RouteIntentBinding; ReleaseRecoveryDisposition,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__AWAITING_EXTERNAL__RECONCILIATION_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,awaiting_external,reconciliation_required,External evidence is contradictory or insufficient for calm final truth.,Current external evidence cannot settle the same action chain,CommandSettlementRecord(result = reconciliation_required),reconciliation review,,ExternalConfirmationGate,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PROJECTION_PENDING__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,projection_pending,settled,Projection visibility and authoritative proof converge on the same action chain.,authoritativeProofClass is sufficient; Any required command-following projection is current,CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,TransitionEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__AWAITING_EXTERNAL__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,awaiting_external,settled,External proof settles the same action chain authoritatively.,authoritativeProofClass is external_confirmation | review_disposition | recovery_disposition,CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,ExternalConfirmationGate; TransitionEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__REVIEW_REQUIRED__RECOVERY_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,review_required,recovery_required,Review outcome proves the route can only continue through bounded recovery.,sameShellRecoveryRef is authoritative,CommandSettlementRecord(authoritativeOutcomeState = recovery_required),blocked / recovery_only,,ReleaseRecoveryDisposition,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__RECONCILIATION_REQUIRED__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,reconciliation_required,settled,Reconciliation resolves the same action chain under the current tuple.,Supersession has not moved the action onto a new chain,CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,ExternalConfirmationGate,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__FAILED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,failed,Authoritative failure settles on the same action chain.,"Failure is authoritative, not just local acknowledgement",CommandSettlementRecord(authoritativeOutcomeState = failed),blocked / recovery_only,,CommandActionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__PENDING__EXPIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,pending,expired,The command-following freshness deadline expires without safe settlement.,staleAfterAt passes,CommandSettlementRecord(authoritativeOutcomeState = expired),blocked / recovery_only,,TransitionEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_COMMAND_SETTLEMENT__SETTLED__SUPERSEDED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,settled,superseded,A later settlement revision or superseding action replaces the prior calm state.,supersedesSettlementRef exists,CommandSettlementRecord(authoritativeOutcomeState = superseded),blocked / recovery_only,,CommandActionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__READ_ONLY,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,publishable_live,read_only,The current route remains visible but no longer safely writable.,Publication tuple is no longer exact for writable posture,AudienceSurfaceRuntimeBinding(bindingState = read_only); ReleaseRecoveryDisposition,same-shell read_only,,ReleaseRecoveryDisposition; DesignContractPublicationBundle,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__RECOVERY_ONLY,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,publishable_live,recovery_only,"Publication, parity, or continuity drift requires same-shell recovery.",surfaceTupleHash no longer matches current runtime truth,AudienceSurfaceRuntimeBinding(bindingState = recovery_only); ReleaseRecoveryDisposition,same-shell recovery,,ReleaseRecoveryDisposition; ExperienceContinuityControlEvidence,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__BLOCKED,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,publishable_live,blocked,"Trust, publication, or freeze posture blocks even read-only safe operation.",surfaceAuthorityState is blocked or required trust is not legal,ReleaseTrustFreezeVerdict; AudienceSurfaceRuntimeBinding(bindingState = blocked),blocked,,ReleaseTrustFreezeVerdict,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__READ_ONLY__PUBLISHABLE_LIVE,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,read_only,publishable_live,Exact publication parity and trust posture are restored.,coverageState = exact; designContractState = exact; surface authority returns to live,AudienceSurfaceRuntimeBinding(bindingState = publishable_live); ReleasePublicationParityRecord,blocked / recovery_only,,ReleasePublicationParityRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__RECOVERY_ONLY__PUBLISHABLE_LIVE,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,recovery_only,publishable_live,Recovery path revalidates the route tuple and publication parity.,Required continuity evidence and publication tuple are current again,AudienceSurfaceRuntimeBinding(bindingState = publishable_live); ExperienceContinuityControlEvidence,blocked / recovery_only,,ExperienceContinuityControlEvidence; ReleasePublicationParityRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_TRIAGE_TASK_STATUS__QUEUED__CLAIMED,SM_TRIAGE_TASK_STATUS,TriageTask.status,queued,claimed,Reviewer acquires the current triage lease.,RequestLifecycleLease is current; Workspace trust and publication posture remain writable,RequestLifecycleLease; ReviewActionLease,blocked / recovery_only,,RequestLifecycleLease; AudienceSurfaceRuntimeBinding,phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model; forensic-audit-findings.md#Finding 15 - Task claim and lease semantics were absent
SM_TRIAGE_TASK_STATUS__CLAIMED__IN_REVIEW,SM_TRIAGE_TASK_STATUS,TriageTask.status,claimed,in_review,The reviewer starts active review on the current review version.,reviewVersion and route intent still match,ReviewSession; ReviewActionLease,blocked / recovery_only,,ReviewSession; DecisionEpoch,phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model
SM_TRIAGE_TASK_STATUS__IN_REVIEW__AWAITING_PATIENT_INFO,SM_TRIAGE_TASK_STATUS,TriageTask.status,in_review,awaiting_patient_info,Structured more-info request is issued.,Exactly one current MoreInfoReplyWindowCheckpoint is live,MoreInfoCycle; MoreInfoReplyWindowCheckpoint,blocked / recovery_only,Open more-info window blocks request closure,MoreInfoReplyWindowCheckpoint; RequestLifecycleLease,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_TRIAGE_TASK_STATUS__AWAITING_PATIENT_INFO__REVIEW_RESUMED,SM_TRIAGE_TASK_STATUS,TriageTask.status,awaiting_patient_info,review_resumed,An accepted reply is assimilated and re-safety clears the case back to triage review.,MoreInfoResponseDisposition is accepted; Re-safety no longer requires urgent diversion,EvidenceAssimilationRecord; SafetyDecisionRecord; triage.task.resumed event,blocked / recovery_only,,MoreInfoReplyWindowCheckpoint; SafetyDecisionRecord,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_TRIAGE_TASK_STATUS__REVIEW_RESUMED__QUEUED,SM_TRIAGE_TASK_STATUS,TriageTask.status,review_resumed,queued,Queue engine re-admits the resumed task under deterministic ranking.,Updated ranking explanation is persisted,QueueRankingRecord; triage.task.resumed event,blocked / recovery_only,,RequestLifecycleLease,"phase-3-the-human-checkpoint.md#3D More-info loop, patient response threading, and re-safety"
SM_TRIAGE_TASK_STATUS__IN_REVIEW__ENDPOINT_SELECTED,SM_TRIAGE_TASK_STATUS,TriageTask.status,in_review,endpoint_selected,Endpoint decision is chosen on the current live DecisionEpoch.,Current DecisionEpoch is live and unsuperseded,EndpointDecisionSettlement; DecisionEpoch(epochState = live),blocked / recovery_only,,DecisionEpoch; EndpointDecisionSettlement,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__RESOLVED_WITHOUT_APPOINTMENT,SM_TRIAGE_TASK_STATUS,TriageTask.status,endpoint_selected,resolved_without_appointment,Direct outcome path settles on the same DecisionEpoch.,EndpointDecisionSettlement is settled; Any required approval checkpoint is approved,EndpointDecisionSettlement; ApprovalCheckpoint,blocked / recovery_only,,ApprovalCheckpoint; CommandSettlementRecord,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__HANDOFF_PENDING,SM_TRIAGE_TASK_STATUS,TriageTask.status,endpoint_selected,handoff_pending,Booking or pharmacy handoff seed is durably created from the current DecisionEpoch.,LineageCaseLink(caseFamily) is proposed on the current lineage; Downstream seed references the unsuperseded DecisionEpoch,BookingIntent | PharmacyIntent; LineageCaseLink,blocked / recovery_only,,DecisionEpoch; LineageCaseLink,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_TRIAGE_TASK_STATUS__ENDPOINT_SELECTED__ESCALATED,SM_TRIAGE_TASK_STATUS,TriageTask.status,endpoint_selected,escalated,Urgent escalation path opens for high-risk review.,Urgent escalation or SafetyDecisionRecord requires it,DutyEscalationRecord; SafetyDecisionRecord,blocked / recovery_only,,DecisionEpoch; Request.safetyState,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_TRIAGE_TASK_STATUS__ESCALATED__RESOLVED_WITHOUT_APPOINTMENT,SM_TRIAGE_TASK_STATUS,TriageTask.status,escalated,resolved_without_appointment,Urgent path settles a direct outcome.,DecisionEpoch is still current,DutyEscalationRecord; EndpointDecisionSettlement,blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_TRIAGE_TASK_STATUS__ESCALATED__HANDOFF_PENDING,SM_TRIAGE_TASK_STATUS,TriageTask.status,escalated,handoff_pending,Urgent path requires downstream ownership.,Downstream intent still matches the live DecisionEpoch,BookingIntent | PharmacyIntent; LineageCaseLink,blocked / recovery_only,,DecisionEpoch; LineageCaseLink,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_TRIAGE_TASK_STATUS__ESCALATED__REOPENED,SM_TRIAGE_TASK_STATUS,TriageTask.status,escalated,reopened,Urgent path returns the case for further practice review.,TriageReopenRecord is current,TriageReopenRecord,blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
SM_TRIAGE_TASK_STATUS__RESOLVED_WITHOUT_APPOINTMENT__CLOSED,SM_TRIAGE_TASK_STATUS,TriageTask.status,resolved_without_appointment,closed,All direct-resolution artifacts are durably queued or created.,TaskCompletionSettlementEnvelope is settled,TaskCompletionSettlementEnvelope; CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,CommandSettlementRecord,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_TRIAGE_TASK_STATUS__HANDOFF_PENDING__CLOSED,SM_TRIAGE_TASK_STATUS,TriageTask.status,handoff_pending,closed,Downstream ownership acknowledges the handoff and the triage branch has no further open work.,LineageCaseLink is acknowledged; No triage-side blocker remains,LineageCaseLink; TaskCompletionSettlementEnvelope,blocked / recovery_only,,LineageCaseLink,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_TRIAGE_TASK_STATUS__REOPENED__QUEUED,SM_TRIAGE_TASK_STATUS,TriageTask.status,reopened,queued,Reopened work re-enters the deterministic queue with raised urgency carry.,Fresh triage-side lease is acquired,TriageReopenRecord; QueueRankingRecord,blocked / recovery_only,,RequestLifecycleLease,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_DECISION_EPOCH__LIVE__BLOCKED,SM_DECISION_EPOCH,DecisionEpoch.epochState,live,blocked,The epoch remains current but actionability is temporarily blocked by approval or trust posture.,Current HumanApprovalGateAssessment or AssistiveCapabilityTrustEnvelope blocks consequence-bearing submit,EndpointDecisionSettlement(result = blocked_approval_gate),blocked / recovery_only,,ApprovalCheckpoint; AssistiveCapabilityTrustEnvelope,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model
SM_DECISION_EPOCH__LIVE__SUPERSEDED,SM_DECISION_EPOCH,DecisionEpoch.epochState,live,superseded,"Evidence, safety, duplicate, policy, trust, publication, or ownership drift requires a replacement epoch.",DecisionSupersessionRecord reasonClass is authoritative,DecisionSupersessionRecord,blocked / recovery_only,,DecisionSupersessionRecord; ApprovalCheckpoint,phase-3-the-human-checkpoint.md#3E Endpoint decision engine and resolution model
SM_APPROVAL_CHECKPOINT__NOT_REQUIRED__REQUIRED,SM_APPROVAL_CHECKPOINT,ApprovalCheckpoint.state,not_required,required,The current consequence requires explicit human approval.,Policy bundle marks the decision as irreversible or approval-burdened,ApprovalRequirementAssessment,blocked / recovery_only,,DecisionEpoch,phase-3-the-human-checkpoint.md#3F Human approval checkpoint and urgent escalation path
