risk_id,risk_title,gate_id,gate_title,gate_type,baseline_scope,risk_class,gate_impact,link_reason
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_DEPENDENCY_HYGIENE_WATCHLIST_DRIFT,Dependency hygiene findings can remain ownerless or timeless,GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,dependency_hygiene,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_COMMS_VENDOR_DELAY,"Notifications, telephony, transcription, or scanning onboarding drifts past the engineering path",GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RESTORE_EVIDENCE_STALENESS,Restore readiness can look green while rehearsal evidence is stale,GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,resilience,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STANDARDS_BASELINE_DRIFT,Standards-baseline and exception posture can drift without explicit watch tuples,GATE_RELEASE_READINESS,Release readiness gate,seq_release,current,dependency_hygiene,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_WAVE1_OBSERVATION,Wave 1 observation gate,seq_release,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RESTORE_EVIDENCE_STALENESS,Restore readiness can look green while rehearsal evidence is stale,GATE_WAVE1_OBSERVATION,Wave 1 observation gate,seq_release,current,resilience,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_XC_EXIT,Cross-phase portal/support exit gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_001,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,GATE_XC_EXIT,Cross-phase portal/support exit gate,programme_conformance,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_XC_PARALLEL_MERGE,Cross-phase portal/support parallel merge,par_block_merge,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_001,ShellFamilyOwnershipContract plus RouteFamilyOwnershipClaim govern shell residency,GATE_XC_PARALLEL_MERGE,Cross-phase portal/support parallel merge,par_block_merge,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
