term_id,canonical_term,entry_type,object_id,resolution_class,bounded_context,object_kind,definition,do_not_confuse_with,source_refs,notes
OBJ_COMMANDACTIONRECORD,CommandActionRecord,object,OBJ_COMMANDACTIONRECORD,canonical_object,foundation_identity_access,record,Fields:,,phase-0-the-foundation-protocol.md#L2411; phase-0-the-foundation-protocol.md#L2449; phase-0-the-foundation-protocol.md#L2478; phase-0-the-foundation-protocol.md#L4829; phase-0-the-foundation-protocol.md#L4915; phase-0-the-foundation-protocol.md#L5496; phase-0-the-foundation-protocol.md#L5557; phase-0-the-foundation-protocol.md#L5571,
OBJ_COMMANDSETTLEMENTRECORD,CommandSettlementRecord,object,OBJ_COMMANDSETTLEMENTRECORD,canonical_object,foundation_identity_access,record,Fields:,OBJ_TASKCOMMANDSETTLEMENT; OBJ_CONVERSATIONCOMMANDSETTLEMENT; OBJ_UITRANSITIONSETTLEMENTRECORD,phase-0-the-foundation-protocol.md#L2451; phase-0-the-foundation-protocol.md#L2117; phase-0-the-foundation-protocol.md#L2478; phase-0-the-foundation-protocol.md#L2491; phase-0-the-foundation-protocol.md#L4829; phase-0-the-foundation-protocol.md#L4940; phase-0-the-foundation-protocol.md#L5512; phase-0-the-foundation-protocol.md#L5563,
OBJ_COMMUNICATIONENVELOPE,CommunicationEnvelope,object,OBJ_COMMUNICATIONENVELOPE,canonical_object,foundation_runtime_experience,record,Fields:,,phase-0-the-foundation-protocol.md#L7571; phase-0-the-foundation-protocol.md#L6563; phase-0-the-foundation-protocol.md#L6606; phase-0-the-foundation-protocol.md#L6610; phase-0-the-foundation-protocol.md#L7603; phase-0-the-foundation-protocol.md#L7685; phase-0-the-foundation-protocol.md#L8790; phase-9-the-assurance-ledger.md#L201,
OBJ_COMMUNICATIONSFREEZEDISPOSITION,CommunicationsFreezeDisposition,object,OBJ_COMMUNICATIONSFREEZEDISPOSITION,canonical_object,platform_configuration,record,`CommunicationsFreezeDisposition` is the communications-specific freeze adapter used when template review must stay same-shell but become read-only or revalidation-first.,,platform-admin-and-config-blueprint.md#L190; platform-admin-and-config-blueprint.md#L170; platform-admin-and-config-blueprint.md#L193,
OBJ_COMMUNICATIONSGOVERNANCEWORKSPACE,CommunicationsGovernanceWorkspace,object,OBJ_COMMUNICATIONSGOVERNANCEWORKSPACE,canonical_object,platform_configuration,other,"`CommunicationsGovernanceWorkspace` is the root context for `/ops/comms`. Template editing, preview, diff, approval, and promotion must all resolve through the same workspace so live, draft, and scheduled posture cannot drift between panes. Once review is open, the workspace must also publish one current `GovernanceReviewPackage`; preview, impact, simulation, approval, and release-freeze posture may not each recompute against a fresher template set or publication epoch.",,platform-admin-and-config-blueprint.md#L172; governance-admin-console-frontend-blueprint.md#L570; platform-admin-and-config-blueprint.md#L167; platform-admin-and-config-blueprint.md#L175; platform-admin-and-config-blueprint.md#L423,
OBJ_COMMUNICATIONSSIMULATIONENVELOPE,CommunicationsSimulationEnvelope,object,OBJ_COMMUNICATIONSSIMULATIONENVELOPE,canonical_object,platform_configuration,record,"`CommunicationsSimulationEnvelope` binds preview, compatibility, and publication posture to one exact candidate so reviewers know the message set they are approving is the same set that can be promoted. It must also bind preview and publication posture to one exact `GovernanceReviewPackage`; communications preview may not be recomputed against fresher runtime publication, suppression, fallback, or quiet-hours truth while the current diff and approval package remain on screen.",,platform-admin-and-config-blueprint.md#L184; governance-admin-console-frontend-blueprint.md#L570; governance-admin-console-frontend-blueprint.md#L1079; governance-admin-console-frontend-blueprint.md#L1147; platform-admin-and-config-blueprint.md#L123; platform-admin-and-config-blueprint.md#L169; platform-admin-and-config-blueprint.md#L187,
OBJ_COMPAREFALLBACKCONTRACT,CompareFallbackContract,object,OBJ_COMPAREFALLBACKCONTRACT,canonical_object,frontend_runtime,contract,"`CompareFallbackContract` prevents compare work from disappearing on narrow surfaces. When `side_by_side` is no longer safe, the shell must preserve the baseline choice, show the active compare subject in the primary region or fallback stage, and keep the diff anchored to the same `SelectedAnchor` set.",,platform-frontend-blueprint.md#L3969; platform-frontend-blueprint.md#L3972,
OBJ_COMPILEDPOLICYBUNDLE,CompiledPolicyBundle,object,OBJ_COMPILEDPOLICYBUNDLE,canonical_object,foundation_identity_access,bundle,Fields:,,phase-0-the-foundation-protocol.md#L2319; phase-0-the-foundation-protocol.md#L53; phase-0-the-foundation-protocol.md#L5549; phase-0-the-foundation-protocol.md#L6725; phase-0-the-foundation-protocol.md#L6739; phase-0-the-foundation-protocol.md#L6796; phase-3-the-human-checkpoint.md#L222; phase-5-the-network-horizon.md#L385,
OBJ_CONFIGBLASTRADIUSDIGEST,ConfigBlastRadiusDigest,object,OBJ_CONFIGBLASTRADIUSDIGEST,canonical_object,platform_configuration,digest,"`ConfigBlastRadiusDigest` materializes what the change can touch. Routing, SLA, callback, booking, pharmacy, or communication edits may not be reviewed as local tweaks when they alter patient promises, support flows, or cross-tenant behavior.",,platform-admin-and-config-blueprint.md#L81; platform-admin-and-config-blueprint.md#L84,
OBJ_CONFIGCOMPILATIONRECORD,ConfigCompilationRecord,object,OBJ_CONFIGCOMPILATIONRECORD,canonical_object,platform_configuration,record,"`ConfigCompilationRecord` is the only authority for turning one workspace draft into one `CompiledPolicyBundle`. It must be minted from one immutable baseline snapshot, one exact `baselineTupleHash`, one exact config-version set, one required policy-domain set, one reference-scenario set, one surface-schema set, and one current drift fence; downstream review may not reassemble that package from tabs or local cache. It must also materialize one exact `ReleaseContractVerificationMatrix` for the same candidate so route contracts, frontend manifests, projection queries, mutation commands, client-cache policy, settlement schemas, transition envelopes, recovery dispositions, and continuity evidence contracts do not drift into later gates as sidecar proof. If any effective value, required compiled domain, compatibility alert, standards watchlist finding, baseline input, scenario set, or schema set changes, the prior record is superseded and a new `ConfigCompilationRecord` must be generated. Release approval may not freeze or promote a bundle hash that is no longer the output of the current compilation record.",,platform-admin-and-config-blueprint.md#L65; phase-9-the-assurance-ledger.md#L1132; phase-9-the-assurance-ledger.md#L1144; platform-runtime-and-release-blueprint.md#L1498; governance-admin-console-frontend-blueprint.md#L570; governance-admin-console-frontend-blueprint.md#L1079; platform-admin-and-config-blueprint.md#L68; platform-admin-and-config-blueprint.md#L70,
OBJ_CONFIGDRIFTFENCE,ConfigDriftFence,object,OBJ_CONFIGDRIFTFENCE,canonical_object,platform_configuration,gate,"`ConfigDriftFence` blocks false confidence under concurrency. If the live baseline changes, `baselineTupleHash` changes, a sibling draft lands, the simulation envelope or review context is regenerated, the approval bundle expires, the immutable review package is regenerated, the candidate-bound standards watchlist is regenerated, or the referenced compilation tuple, approval tuple, `reviewPackageHash`, or `standardsWatchlistHash` no longer matches, compile, approval, and promotion actions must freeze until the workspace is revalidated. Local admin affordances may not bypass this fence. A compile success from an older tuple is evidence only for that superseded tuple and must not be reused as if it still proved the current draft.",,platform-admin-and-config-blueprint.md#L102; governance-admin-console-frontend-blueprint.md#L570; platform-admin-and-config-blueprint.md#L105; platform-admin-and-config-blueprint.md#L454,
OBJ_CONFIGSIMULATIONENVELOPE,ConfigSimulationEnvelope,object,OBJ_CONFIGSIMULATIONENVELOPE,canonical_object,platform_configuration,record,"`ConfigSimulationEnvelope` binds simulation and compile readiness to one exact compiled candidate, not to editable draft state. Reference-case outcomes, schema and route-publication compatibility, continuity proofs, visibility coverage, compatibility alerts, and compile blockers must all point to the same `ConfigCompilationRecord`, `baselineTupleHash`, `CompiledPolicyBundle`, and `compilationTupleHash` the operator is preparing to approve. It must also stay bound to one exact `ReleaseContractVerificationMatrix` and `releaseContractMatrixHash`; simulation may not prove route, frontend, settlement, recovery, or continuity compatibility against a different generated tuple than the one later used by release verification and runtime publication. Once review is open, the envelope must also remain bound to one exact `GovernanceReviewPackage`, `reviewPackageHash`, `StandardsDependencyWatchlist`, and `standardsWatchlistHash`; diff, impact, continuity evidence, communications simulation, standards blockers, and approval may not read a fresher or sibling simulation result while the operator is still looking at the current package. When affected continuity or assurance controls are in scope, the envelope must also point to one current `AssuranceEvidenceGraphSnapshot`, one current `AssuranceGraphCompletenessVerdict`, and the exact `graphHash` that made those proofs admissible. Loose evidence refs are not enough for promotion. Re-running simulation because of draft edits, scenario changes, schema changes, or drift-fence movement must mint a new envelope and supersede the old one. Review, approval, and promotion may not continue against an invalidated or superseded envelope merely because the human-readable diff still looks unchanged, and they may not keep the old `reviewPackageHash` after that supersession.",,platform-admin-and-config-blueprint.md#L72; phase-9-the-assurance-ledger.md#L1132; phase-9-the-assurance-ledger.md#L1144; governance-admin-console-frontend-blueprint.md#L570; governance-admin-console-frontend-blueprint.md#L1079; governance-admin-console-frontend-blueprint.md#L1147; platform-admin-and-config-blueprint.md#L75; platform-admin-and-config-blueprint.md#L122,
OBJ_CONFIGVERSION,ConfigVersion,object,OBJ_CONFIGVERSION,canonical_object,assurance_and_governance,other,Explicit schema block for ConfigVersion in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L1112,
OBJ_CONFIGWORKSPACECONTEXT,ConfigWorkspaceContext,object,OBJ_CONFIGWORKSPACECONTEXT,canonical_object,platform_configuration,other,"`ConfigWorkspaceContext` is the root context for `/ops/config`. Every subview in the session must resolve through the same workspace context so rule editing, comparison, simulation, and approval review cannot silently jump across tenant or environment scope. The workspace must carry the same explicit blast radius that the current `GovernanceScopeToken` and `ActingScopeTuple` authorize; `multi_tenant` or `platform` review may not hide behind route labels or tenant lists without `affectedTenantCount`, `affectedOrganisationCount`, and the governing `scopeTupleHash`. The workspace must also stay bound to one current governance scope and one current `ActingScopeTuple`; organisation switching, purpose-of-use drift, elevation expiry, or blast-radius widening must supersede that tuple and force revalidation before compile, approval, or promotion can continue. Draft save may change only `draftBundleRef` and supporting resolution inputs. Any effective-config change must supersede `baselineTupleHash`, `currentCompilationRecordRef`, `currentSimulationEnvelopeRef`, `currentGovernanceReviewPackageRef`, and `currentCompilationTupleHash` together, pushing `workspaceState` back to `compile_pending` until a fresh compiled package is generated.",,platform-admin-and-config-blueprint.md#L52; governance-admin-console-frontend-blueprint.md#L570; platform-admin-and-config-blueprint.md#L55; platform-admin-and-config-blueprint.md#L126; platform-admin-and-config-blueprint.md#L137; platform-admin-and-config-blueprint.md#L423; platform-admin-and-config-blueprint.md#L431,
OBJ_CONFORMALPREDICTIONSET,ConformalPredictionSet,object,OBJ_CONFORMALPREDICTIONSET,canonical_object,assistive,other,Explicit schema block for ConformalPredictionSet in phase-8-the-assistive-layer.md.,,phase-8-the-assistive-layer.md#L612; phase-8-the-assistive-layer.md#L685,
OBJ_CONSENT,Consent,object,OBJ_CONSENT,canonical_object,unknown,other,Consent is clearly relied upon by the audited flow or phase prose even though it lacks a standalone canonical block.,,vecells-complete-end-to-end-flow.md#L1; phase-0-the-foundation-protocol.md#L294; phase-0-the-foundation-protocol.md#L410; phase-0-the-foundation-protocol.md#L415; phase-6-the-pharmacy-loop.md#L550,
OBJ_CONSEQUENCEPREVIEW,ConsequencePreview,object,OBJ_CONSEQUENCEPREVIEW,canonical_object,foundation_runtime_experience,other,Fields:,,phase-0-the-foundation-protocol.md#L7688; phase-0-the-foundation-protocol.md#L7996; phase-0-the-foundation-protocol.md#L8414; phase-0-the-foundation-protocol.md#L9495; phase-3-the-human-checkpoint.md#L890; platform-frontend-blueprint.md#L1577; platform-frontend-blueprint.md#L2074; platform-frontend-blueprint.md#L2618,
OBJ_CONTACTROUTEREPAIRJOURNEY,ContactRouteRepairJourney,object,OBJ_CONTACTROUTEREPAIRJOURNEY,canonical_object,foundation_identity_access,other,Fields:,,phase-0-the-foundation-protocol.md#L1741; phase-0-the-foundation-protocol.md#L4891; phase-0-the-foundation-protocol.md#L4930; phase-0-the-foundation-protocol.md#L5506; phase-0-the-foundation-protocol.md#L5534; phase-0-the-foundation-protocol.md#L5555; phase-4-the-booking-engine.md#L807; phase-4-the-booking-engine.md#L1000,
OBJ_CONTACTROUTESNAPSHOT,ContactRouteSnapshot,object,OBJ_CONTACTROUTESNAPSHOT,canonical_object,foundation_identity_access,record,Fields:,,phase-0-the-foundation-protocol.md#L1631; phase-0-the-foundation-protocol.md#L1791; phase-0-the-foundation-protocol.md#L4773; phase-0-the-foundation-protocol.md#L4892; phase-0-the-foundation-protocol.md#L4931; phase-0-the-foundation-protocol.md#L5508; phase-0-the-foundation-protocol.md#L5537; phase-0-the-foundation-protocol.md#L5671,
OBJ_CONTACTROUTEVERIFICATIONCHECKPOINT,ContactRouteVerificationCheckpoint,object,OBJ_CONTACTROUTEVERIFICATIONCHECKPOINT,canonical_object,foundation_identity_access,checkpoint,Fields:,,phase-0-the-foundation-protocol.md#L1769; phase-0-the-foundation-protocol.md#L5537,
OBJ_CONTAINMENTACTION,ContainmentAction,object,OBJ_CONTAINMENTACTION,canonical_object,assurance_and_governance,other,Explicit schema block for ContainmentAction in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L1035,
OBJ_CONTINUITYCARRYFORWARDPLAN,ContinuityCarryForwardPlan,object,OBJ_CONTINUITYCARRYFORWARDPLAN,canonical_object,frontend_runtime,other,"`ContinuityCarryForwardPlan` governs what survives a continuity-preserving transition. Shell-scoped navigation, utility state, and quiet posture may carry forward differently from object-scoped anchors, side stages, scroll, and focus; anything that cannot safely continue must freeze, demote, or degrade explicitly rather than vanishing or jumping to a sibling object.",,platform-frontend-blueprint.md#L160; platform-frontend-blueprint.md#L163; platform-frontend-blueprint.md#L170; platform-frontend-blueprint.md#L171; platform-frontend-blueprint.md#L1647,
OBJ_CONTINUITYCONTRACTCOVERAGERECORD,ContinuityContractCoverageRecord,object,OBJ_CONTINUITYCONTRACTCOVERAGERECORD,canonical_object,runtime_release,record,"`ContinuityContractCoverageRecord` proves that continuity-sensitive workflows stay aligned across simulation, publication, and degraded-mode proof. Naming a control in `requiredContinuityControlRefs[]` is incomplete unless the same record also binds its continuity evidence contract and its synthetic recovery coverage.",,platform-runtime-and-release-blueprint.md#L1458; platform-runtime-and-release-blueprint.md#L1461; platform-runtime-and-release-blueprint.md#L1526; platform-runtime-and-release-blueprint.md#L1527; platform-runtime-and-release-blueprint.md#L1654; platform-admin-and-config-blueprint.md#L432,
OBJ_CONTINUITYCONTROLHEALTHPROJECTION,ContinuityControlHealthProjection,object,OBJ_CONTINUITYCONTROLHEALTHPROJECTION,canonical_object,assurance_and_governance,projection,"`ContinuityControlHealthProjection` is the first-class continuity-proof summary for operational diagnosis. Queue age, delivery delay, backlog, and freshness may explain blast radius, but they remain supporting symptoms only; they may not replace the exact settlement, continuation, or restore chain, the required `AssuranceSliceTrustRecord` rows, or the current `continuitySetHash` governing whether a shell was actually allowed to look calm, writable, or same-shell recoverable.",,phase-9-the-assurance-ledger.md#L318; phase-0-the-foundation-protocol.md#L4986; phase-0-the-foundation-protocol.md#L6895; phase-0-the-foundation-protocol.md#L9027; phase-9-the-assurance-ledger.md#L321; phase-9-the-assurance-ledger.md#L429; phase-9-the-assurance-ledger.md#L436; phase-9-the-assurance-ledger.md#L445,Projection objects summarize authoritative truth and must never be mistaken for owning aggregates.
OBJ_CONTINUITYCONTROLIMPACTDIGEST,ContinuityControlImpactDigest,object,OBJ_CONTINUITYCONTROLIMPACTDIGEST,canonical_object,platform_configuration,digest,"`ContinuityControlImpactDigest` materializes whether a draft touches patient-home actionability, record-follow-up recovery, more-info reply posture, conversation settlement posture, support replay restore, intake resume, booking manage posture, hub booking-manage posture, assistive-session continuity, workspace task completion, or pharmacy-console settlement. When those controls are in scope, the UI must show the exact `ExperienceContinuityControlEvidence` and trust posture required to promote safely; “no visible diff” is not enough. That digest must also stay attached to the same `GovernanceReviewPackage` as diff, simulation, continuity evidence, and approval so continuity-sensitive blast radius cannot be reviewed against a different package epoch than the visible change.",,platform-admin-and-config-blueprint.md#L86; governance-admin-console-frontend-blueprint.md#L570; platform-admin-and-config-blueprint.md#L89; platform-admin-and-config-blueprint.md#L123; platform-admin-and-config-blueprint.md#L129; platform-admin-and-config-blueprint.md#L325; phase-cards.md#L93; forensic-audit-findings.md#L630,
OBJ_CONTINUITYEVIDENCEDRILLPATH,ContinuityEvidenceDrillPath,object,OBJ_CONTINUITYEVIDENCEDRILLPATH,canonical_object,staff_support_operations,other,Rules:,,operations-console-frontend-blueprint.md#L529; forensic-audit-findings.md#L618,
OBJ_CONTINUITYEVIDENCEPACKSECTION,ContinuityEvidencePackSection,object,OBJ_CONTINUITYEVIDENCEPACKSECTION,canonical_object,assurance_and_governance,other,Explicit schema block for ContinuityEvidencePackSection in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L621; phase-9-the-assurance-ledger.md#L160; phase-9-the-assurance-ledger.md#L654; phase-9-the-assurance-ledger.md#L673,
OBJ_CONTINUITYFRAME,ContinuityFrame,object,OBJ_CONTINUITYFRAME,canonical_object,frontend_runtime,other,"`ContinuityFrame` is the authoritative source of active object identity inside the shell. `entityContinuityKey` must derive from it, and adjacent routes may not claim object continuity by matching loose URL shape or nearby entity refs alone.",,platform-frontend-blueprint.md#L140; platform-frontend-blueprint.md#L105; platform-frontend-blueprint.md#L107; platform-frontend-blueprint.md#L143; platform-frontend-blueprint.md#L1648,
OBJ_CONTINUITYORCHESTRATOR,ContinuityOrchestrator,object,OBJ_CONTINUITYORCHESTRATOR,canonical_object,foundation_runtime_experience,other,Responsibilities:,,phase-0-the-foundation-protocol.md#L7901,
OBJ_CONTINUITYRESTOREPLAN,ContinuityRestorePlan,object,OBJ_CONTINUITYRESTOREPLAN,canonical_object,frontend_runtime,other,"`ContinuityRestorePlan` governs refresh, reconnect, resume, and embedded return behavior. When the shell rehydrates, it must attempt to restore the same anchor, topology, and local focus target before offering fallback navigation, but it must revalidate the active `RouteIntentBinding`, `ReleaseApprovalFreeze`, `ChannelReleaseFreezeRecord`, required `AssuranceSliceTrustRecord` rows, and any bound `ExperienceContinuityControlEvidence` before restoring mutable posture. If full restoration is impossible, it must explain why, preserve the nearest safe causal breadcrumb, and fall back to read-only or governed recovery rather than replaying stale mutating affordances.",,ux-quiet-clarity-redesign.md#L105; platform-frontend-blueprint.md#L1388; platform-frontend-blueprint.md#L1454; platform-frontend-blueprint.md#L1661; platform-frontend-blueprint.md#L1700; platform-frontend-blueprint.md#L1981; platform-frontend-blueprint.md#L2240; ux-quiet-clarity-redesign.md#L108,
OBJ_CONTINUITYTRANSITIONCHECKPOINT,ContinuityTransitionCheckpoint,object,OBJ_CONTINUITYTRANSITIONCHECKPOINT,canonical_object,frontend_runtime,checkpoint,"`ContinuityTransitionCheckpoint` is the gate for shell reuse and same-shell object switches. Reusing a shell requires more than a matching key: the shell scope, route-family ownership claim, route intent, route adjacency, governing version, session lineage, visibility grant, and any embedded channel context must still be valid for the next child surface.",,platform-frontend-blueprint.md#L150; platform-frontend-blueprint.md#L153; platform-frontend-blueprint.md#L174; platform-frontend-blueprint.md#L1636,
OBJ_CONTRADICTIONCHECKRESULT,ContradictionCheckResult,object,OBJ_CONTRADICTIONCHECKRESULT,canonical_object,assistive,other,Use this algorithm:,,phase-8-the-assistive-layer.md#L510,
OBJ_CONTROLEVIDENCELINK,ControlEvidenceLink,object,OBJ_CONTROLEVIDENCELINK,canonical_object,assurance_and_governance,other,Explicit schema block for ControlEvidenceLink in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L110; phase-9-the-assurance-ledger.md#L187,
OBJ_CONTROLOBJECTIVE,ControlObjective,object,OBJ_CONTROLOBJECTIVE,canonical_object,assurance_and_governance,other,Explicit schema block for ControlObjective in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L107,
OBJ_CONTROLSTATUSSNAPSHOT,ControlStatusSnapshot,object,OBJ_CONTROLSTATUSSNAPSHOT,canonical_object,assurance_and_governance,record,Explicit schema block for ControlStatusSnapshot in phase-9-the-assurance-ledger.md.,,phase-9-the-assurance-ledger.md#L125; phase-9-the-assurance-ledger.md#L187; phase-9-the-assurance-ledger.md#L1236; phase-9-the-assurance-ledger.md#L1239; phase-cards.md#L31,
OBJ_CONVERSATIONCOMMANDSETTLEMENT,ConversationCommandSettlement,object,OBJ_CONVERSATIONCOMMANDSETTLEMENT,canonical_object,foundation_identity_access,settlement,Fields:,,phase-0-the-foundation-protocol.md#L3177; callback-and-clinician-messaging-loop.md#L365; phase-0-the-foundation-protocol.md#L408; phase-0-the-foundation-protocol.md#L3137; phase-0-the-foundation-protocol.md#L3212; phase-0-the-foundation-protocol.md#L4949; phase-0-the-foundation-protocol.md#L6602; phase-0-the-foundation-protocol.md#L6606,
OBJ_CONVERSATIONSUBTHREADPROJECTION,ConversationSubthreadProjection,object,OBJ_CONVERSATIONSUBTHREADPROJECTION,canonical_object,foundation_runtime_experience,projection,Fields:,,phase-0-the-foundation-protocol.md#L7605; phase-0-the-foundation-protocol.md#L3137; phase-0-the-foundation-protocol.md#L3212; phase-0-the-foundation-protocol.md#L6563; phase-0-the-foundation-protocol.md#L6585; phase-0-the-foundation-protocol.md#L6606; phase-0-the-foundation-protocol.md#L6609; phase-0-the-foundation-protocol.md#L6610,Projection objects summarize authoritative truth and must never be mistaken for owning aggregates.
OBJ_CONVERSATIONTHREADPROJECTION,ConversationThreadProjection,object,OBJ_CONVERSATIONTHREADPROJECTION,canonical_object,foundation_runtime_experience,projection,Fields:,,phase-0-the-foundation-protocol.md#L7641; phase-0-the-foundation-protocol.md#L3137; phase-0-the-foundation-protocol.md#L3212; phase-0-the-foundation-protocol.md#L6563; phase-0-the-foundation-protocol.md#L6586; phase-0-the-foundation-protocol.md#L6602; phase-0-the-foundation-protocol.md#L6606; phase-0-the-foundation-protocol.md#L6609,Projection objects summarize authoritative truth and must never be mistaken for owning aggregates.
OBJ_COORDINATIONOWNERSHIP,CoordinationOwnership,object,OBJ_COORDINATIONOWNERSHIP,canonical_object,hub_coordination,other,"Build the permission model around three visibility tiers, each bound to one materialized `VisibilityProjectionPolicy`, one `MinimumNecessaryContract`, and dedicated section, preview, and artifact contracts:",,phase-5-the-network-horizon.md#L254,
OBJ_CROSSORGANISATIONVISIBILITYENVELOPE,CrossOrganisationVisibilityEnvelope,object,OBJ_CROSSORGANISATIONVISIBILITYENVELOPE,canonical_object,hub_coordination,record,Explicit schema block for CrossOrganisationVisibilityEnvelope in phase-5-the-network-horizon.md.,,phase-5-the-network-horizon.md#L251; phase-5-the-network-horizon.md#L265; phase-5-the-network-horizon.md#L783; phase-5-the-network-horizon.md#L1031,
OBJ_CROSSPHASECONFORMANCESCORECARD,CrossPhaseConformanceScorecard,object,OBJ_CROSSPHASECONFORMANCESCORECARD,canonical_object,assurance_and_governance,other,"`CrossPhaseConformanceScorecard` is the final programme-truth artifact. Phase summaries, runtime verification, governance review, ops diagnosis, and BAU sign-off may not each declare completion independently once this scorecard exists.",,phase-9-the-assurance-ledger.md#L1225; phase-9-the-assurance-ledger.md#L1228; platform-runtime-and-release-blueprint.md#L1482; governance-admin-console-frontend-blueprint.md#L1315; phase-cards.md#L28; phase-cards.md#L66; blueprint-init.md#L43,
OBJ_CROSSSITEDECISIONPLAN,CrossSiteDecisionPlan,object,OBJ_CROSSSITEDECISIONPLAN,canonical_object,hub_coordination,other,Explicit schema block for CrossSiteDecisionPlan in phase-5-the-network-horizon.md.,,phase-5-the-network-horizon.md#L70; phase-0-the-foundation-protocol.md#L6099; phase-5-the-network-horizon.md#L367; phase-5-the-network-horizon.md#L393; phase-5-the-network-horizon.md#L533; phase-5-the-network-horizon.md#L653; phase-5-the-network-horizon.md#L660,
OBJ_DATASUBJECTTRACE,DataSubjectTrace,object,OBJ_DATASUBJECTTRACE,canonical_object,assurance_and_governance,other,Build a searchable audit model that can answer questions like:,,phase-9-the-assurance-ledger.md#L516; phase-9-the-assurance-ledger.md#L533; operations-console-frontend-blueprint.md#L148; operations-console-frontend-blueprint.md#L257; governance-admin-console-frontend-blueprint.md#L1286,
OBJ_DECISIONCOMMITENVELOPE,DecisionCommitEnvelope,object,OBJ_DECISIONCOMMITENVELOPE,canonical_object,staff_support_operations,record,Explicit schema block for DecisionCommitEnvelope in staff-workspace-interface-architecture.md.,,staff-workspace-interface-architecture.md#L218; phase-0-the-foundation-protocol.md#L8938; phase-0-the-foundation-protocol.md#L8940; staff-workspace-interface-architecture.md#L291; staff-workspace-interface-architecture.md#L379; staff-workspace-interface-architecture.md#L485; staff-workspace-interface-architecture.md#L520; staff-workspace-interface-architecture.md#L644,
OBJ_DECISIONDOCK,DecisionDock,object,OBJ_DECISIONDOCK,canonical_object,foundation_runtime_experience,other,Fields:,,phase-0-the-foundation-protocol.md#L7182; phase-0-the-foundation-protocol.md#L3371; phase-0-the-foundation-protocol.md#L4192; phase-0-the-foundation-protocol.md#L6946; phase-0-the-foundation-protocol.md#L6967; phase-0-the-foundation-protocol.md#L7983; phase-0-the-foundation-protocol.md#L7988; phase-0-the-foundation-protocol.md#L8046,
OBJ_DECISIONDOCKFOCUSLEASE,DecisionDockFocusLease,object,OBJ_DECISIONDOCKFOCUSLEASE,canonical_object,frontend_runtime,lease,"`DecisionDockFocusLease` makes one dominant action explicit. While the lease is active, compare drawers, assistive rails, context surfaces, and local tools may inform the decision, but they may not surface a second competing primary CTA unless a higher-priority blocker legally preempts the current action.",,ux-quiet-clarity-redesign.md#L190; phase-5-the-network-horizon.md#L535; platform-frontend-blueprint.md#L1429; platform-frontend-blueprint.md#L1496; platform-frontend-blueprint.md#L1623; platform-frontend-blueprint.md#L1641; platform-frontend-blueprint.md#L1694; platform-frontend-blueprint.md#L1723,
OBJ_DECISIONEPOCH,DecisionEpoch,object,OBJ_DECISIONEPOCH,canonical_object,triage_human_checkpoint,checkpoint,"`DecisionEpoch` is the only writable fence for endpoint choice, payload preview, approval, escalation, and downstream launch. A live epoch binds one review version, one selected anchor, one evidence basis, one policy tuple, one lineage fence, one ownership epoch, and one publication tuple. If any of those inputs drift materially, the epoch must stop authorizing new consequence-bearing actions.",,phase-3-the-human-checkpoint.md#L64; phase-0-the-foundation-protocol.md#L4328; phase-0-the-foundation-protocol.md#L8920; phase-0-the-foundation-protocol.md#L8968; phase-0-the-foundation-protocol.md#L8982; phase-3-the-human-checkpoint.md#L67; phase-3-the-human-checkpoint.md#L116; phase-3-the-human-checkpoint.md#L222,
OBJ_DECISIONSUPERSESSIONRECORD,DecisionSupersessionRecord,object,OBJ_DECISIONSUPERSESSIONRECORD,canonical_object,triage_human_checkpoint,record,"`DecisionSupersessionRecord` is the replayable audit answer for why a once-live endpoint path stopped being actionable. Queue badges, stale chips, approval invalidation, direct-resolution recovery, and downstream handoff repair must all point back to this record instead of improvising local stale reasons.",,phase-3-the-human-checkpoint.md#L69; phase-0-the-foundation-protocol.md#L8920; phase-3-the-human-checkpoint.md#L72; phase-3-the-human-checkpoint.md#L783; phase-3-the-human-checkpoint.md#L870; phase-3-the-human-checkpoint.md#L979; phase-3-the-human-checkpoint.md#L1009; phase-4-the-booking-engine.md#L109,
OBJ_DEEPLINKINTENTENVELOPE,DeepLinkIntentEnvelope,object,OBJ_DEEPLINKINTENTENVELOPE,canonical_object,frontend_runtime,record,"`DeepLinkIntentEnvelope` is the typed claim carried by a deep link. Frontend routing may not resolve a PHI-bearing route unless the envelope still matches the current canonical object, intended route family, subject lineage, and any embedded-channel constraints.",,platform-frontend-blueprint.md#L3890; platform-frontend-blueprint.md#L3893; platform-frontend-blueprint.md#L3925,
