mappingRowId,fhirRepresentationContractId,owningBoundedContextRef,governingAggregateType,representationPurpose,resourceType,profileCanonicalUrl,identifierPolicyRef,statusMappingPolicyRef,cardinalityPolicyRef,redactionPolicyRef,companionArtifactPolicyRef,replayPolicyRef,supersessionPolicyRef,callbackCorrelationPolicyRef,exchangeBundlePolicyRef,materializationDisposition,defectState,rationale
MAP_frc-049-pharmacy-dispatch-partner-callback-correlation-v1_provenance,FRC_049_PHARMACY_DISPATCH_PARTNER_CALLBACK_CORRELATION_V1,pharmacy,PharmacyDispatchAttempt,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-pharmacy-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_DISPATCH_ATTEMPT_AND_OUTBOUND_REFERENCE_HASH,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,"Pharmacy callback proof and contradiction lanes are explicit bundle-driven companions, not mailbox-local booleans."
MAP_frc-049-request-clinical-persistence-v1_documentreference,FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,foundation_control_plane,Request,clinical_persistence,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-request-evidence-documentreference,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_REFERENCE_ONLY_ARTIFACTS,COMPPOL_049_DOCUMENT_REFERENCE_BINARY_REFS,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,,allowed,active,Request remains lifecycle authority; FHIR Task and supporting documents are replayable companions only.
MAP_frc-049-request-clinical-persistence-v1_provenance,FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,foundation_control_plane,Request,clinical_persistence,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-request-provenance,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_REFERENCE_ONLY_ARTIFACTS,COMPPOL_049_DOCUMENT_REFERENCE_BINARY_REFS,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,,allowed,active,Request remains lifecycle authority; FHIR Task and supporting documents are replayable companions only.
MAP_frc-049-request-clinical-persistence-v1_task,FRC_049_REQUEST_CLINICAL_PERSISTENCE_V1,foundation_control_plane,Request,clinical_persistence,Task,https://vecells.example/fhir/StructureDefinition/vecells-request-task,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_REFERENCE_ONLY_ARTIFACTS,COMPPOL_049_DOCUMENT_REFERENCE_BINARY_REFS,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,,allowed,active,Request remains lifecycle authority; FHIR Task and supporting documents are replayable companions only.
MAP_frc-049-request-external-interchange-v1_documentreference,FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,foundation_control_plane,Request,external_interchange,DocumentReference,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-documentreference,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,allowed,active,Request-level interchange is allowed only as a governed package emitted from settled aggregate truth and frozen evidence.
MAP_frc-049-request-external-interchange-v1_provenance,FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,foundation_control_plane,Request,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-provenance,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,allowed,active,Request-level interchange is allowed only as a governed package emitted from settled aggregate truth and frozen evidence.
MAP_frc-049-request-external-interchange-v1_task,FRC_049_REQUEST_EXTERNAL_INTERCHANGE_V1,foundation_control_plane,Request,external_interchange,Task,https://vecells.example/fhir/StructureDefinition/vecells-request-interchange-task,IDPOL_049_REQUEST_VERSION_FINGERPRINT,STPOL_049_REQUEST_TASK_LIFECYCLE,CARDPOL_049_REQUEST_ONE_TASK_MANY_DOCS,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_AGGREGATE_VERSION_STABLE_SET,SUPPOL_049_APPEND_ONLY_BY_AGGREGATE_VERSION,CALLPOL_049_NONE,FXBP_049_REQUEST_OUTBOUND_DOCUMENT,allowed,active,Request-level interchange is allowed only as a governed package emitted from settled aggregate truth and frozen evidence.
BLOCK_accessgrant,,internal_control_plane,AccessGrant,prohibited,,,,,,,,,,,,prohibited,blocked,Access grants are internal capability truth and may not surface as FHIR lifecycle owners.
BLOCK_audiencesurfaceruntimebinding,,internal_control_plane,AudienceSurfaceRuntimeBinding,prohibited,,,,,,,,,,,,prohibited,blocked,"Browser/runtime parity tuples are release controls, not clinical resources."
BLOCK_capabilitydecision,,internal_control_plane,CapabilityDecision,prohibited,,,,,,,,,,,,prohibited,blocked,CapabilityDecision is internal trust law and may not be flattened into FHIR status.
BLOCK_capacityreservation,,internal_control_plane,CapacityReservation,prohibited,,,,,,,,,,,,prohibited,blocked,Reservation truth remains internal and may not be replaced by FHIR commitment state.
BLOCK_releasepublicationparityrecord,,internal_control_plane,ReleasePublicationParityRecord,prohibited,,,,,,,,,,,,prohibited,blocked,Publication parity remains release control truth and may not leak into FHIR authority.
BLOCK_releasetrustfreezeverdict,,internal_control_plane,ReleaseTrustFreezeVerdict,prohibited,,,,,,,,,,,,prohibited,blocked,"Trust and freeze posture are control-plane decisions, not FHIR-owned lifecycle state."
BLOCK_requestlifecyclelease,,internal_control_plane,RequestLifecycleLease,prohibited,,,,,,,,,,,,prohibited,blocked,"Lease ownership and takeover are control-plane facts, not FHIR statuses."
BLOCK_session,,internal_control_plane,Session,prohibited,,,,,,,,,,,,prohibited,blocked,Session is local authority and never partner-visible FHIR lifecycle truth.
