transition_id,machine_id,canonical_name,machine_family,phase_tags,state_axis_type,from_state,to_state,trigger,coordinator_owned,guards,authoritative_proofs,related_objects,degraded_posture,closure_blocker_interactions,source_refs,notes
SM_SESSION_ROUTE_AUTHORITY__AUTH_READ_ONLY__CLAIM_PENDING,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,auth_read_only,claim_pending,Claim path or secure continuation is underway.,no,Current grant family permits claim-pending progression,AccessGrantRedemptionRecord; SessionEstablishmentDecision(writableAuthorityState = claim_pending),AccessGrant; SessionEstablishmentDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_SESSION_ROUTE_AUTHORITY__CLAIM_PENDING__WRITABLE,SM_SESSION_ROUTE_AUTHORITY,Session.routeAuthorityState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,gate,claim_pending,writable,"Current capability, route intent, and publication tuple all permit mutation.",no,Session.sessionState = active; RouteIntentBinding is live; AudienceSurfaceRuntimeBinding is publishable_live,RouteIntentBinding(bindingState = live); AudienceSurfaceRuntimeBinding(bindingState = publishable_live); CapabilityDecision(decisionState = allow),RouteIntentBinding; AudienceSurfaceRuntimeBinding; CapabilityDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__LIVE__REDEEMING,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,live,redeeming,A one-time or rotating grant is presented and redemption begins.,no,"Grant validator, lineage scope, and runtime tuple all still match",AccessGrantRedemptionRecord,AccessGrantScopeEnvelope; RouteIntentBinding,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__REDEEMING__REDEEMED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,redeeming,redeemed,Redemption settles exactly once and downstream session or continuation creation succeeds.,no,No replay collision exists; Redemption count and scope are still valid,AccessGrantRedemptionRecord; CommandSettlementRecord(authoritativeOutcomeState = settled),CommandSettlementRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__LIVE__ROTATED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,live,rotated,Grant rotation or reissue begins under the same governed family.,no,Fresh grant issuance is required on a newer tuple,AccessGrantSupersessionRecord,AccessGrantScopeEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__ROTATED__SUPERSEDED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,rotated,superseded,Replacement grant is current and the prior grant is now historical only.,no,Supersession is exact-once and authoritative,AccessGrantSupersessionRecord,AccessGrant,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__LIVE__REVOKED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,live,revoked,"Grant is explicitly revoked for repair, logout, policy, or abuse reasons.",no,Revocation binds to the current grant family and tuple,AccessGrantSupersessionRecord; GrantRevocationRecord,AccessGrant,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ACCESS_GRANT_LIFECYCLE__LIVE__EXPIRED,SM_ACCESS_GRANT_LIFECYCLE,AccessGrant.grantState,canonical_shared_control,phase_0_foundation; phase_2_identity_and_echoes,lifecycle,live,expired,Grant expires before legal redemption.,no,Expiry time has passed,AccessGrantExpiryRecord,AccessGrant,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_DUPLICATE_CLUSTER_STATUS__OPEN__IN_REVIEW,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,open,in_review,Review-required duplicate ambiguity is assigned explicit triage review work.,no,relationType = review_required or same_episode_candidate,DuplicateCluster; request.duplicate.review_required event,DuplicateResolutionDecision,,Duplicate review blocks closure while unresolved,phase-0-the-foundation-protocol.md#1.7 DuplicateCluster; forensic-audit-findings.md#Finding 65 - The event catalogue lacked duplicate-review lifecycle events,
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_CONFIRMED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,in_review,resolved_confirmed,Review confirms same-episode or attach behavior under explicit continuity witness.,no,DecisionClass is exact_retry_collapse or same_episode_link; Winning pair evidence and continuity witness are current,DuplicateResolutionDecision(decisionState = applied),DuplicateResolutionDecision; DuplicatePairEvidence,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_SEPARATE,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,in_review,resolved_separate,Review confirms the incoming item must remain a separate request.,no,DecisionClass = separate_request,DuplicateResolutionDecision(decisionState = applied),DuplicateResolutionDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_RELATED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,in_review,resolved_related,Review confirms related-episode linkage without same-request attachment.,no,DecisionClass = related_episode_link,DuplicateResolutionDecision(decisionState = applied),DuplicateResolutionDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_DUPLICATE_CLUSTER_STATUS__IN_REVIEW__RESOLVED_RETRY,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,in_review,resolved_retry,Review confirms exact retry collapse.,no,DecisionClass = exact_retry_collapse,DuplicateResolutionDecision(decisionState = applied),DuplicateResolutionDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_DUPLICATE_CLUSTER_STATUS__OPEN__SUPERSEDED,SM_DUPLICATE_CLUSTER_STATUS,DuplicateCluster.reviewStatus,canonical_shared_control,phase_0_foundation; phase_1_red_flag_gate; phase_3_human_checkpoint,case_local,open,superseded,A newer cluster or resolution supersedes the current review container.,no,Superseding cluster or decision exists,DuplicateResolutionDecision(decisionState = superseded),DuplicateResolutionDecision,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_FALLBACK_REVIEW_CASE__DRAFT_RECOVERABLE__SUBMITTED_DEGRADED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,canonical_shared_control,phase_0_foundation,case_local,draft_recoverable,submitted_degraded,Accepted user progress cannot complete automatically and degrades into governed review.,no,"Automated ingest, safety, or dependency path failed after progress was accepted",FallbackReviewCase; patient.receipt.degraded event,FallbackReviewCase,,Fallback review remains closure-blocking while open,phase-0-the-foundation-protocol.md#1.20 FallbackReviewCase; forensic-audit-findings.md#Finding 62 - The event catalogue lacked degraded receipt events,
SM_FALLBACK_REVIEW_CASE__SUBMITTED_DEGRADED__UNDER_MANUAL_REVIEW,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,canonical_shared_control,phase_0_foundation,case_local,submitted_degraded,under_manual_review,Manual owner picks up degraded accepted progress.,no,Fallback queue ownership exists,exception.review_case.opened event; RequestLifecycleLease,RequestLifecycleLease,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_FALLBACK_REVIEW_CASE__UNDER_MANUAL_REVIEW__RECOVERED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,canonical_shared_control,phase_0_foundation,case_local,under_manual_review,recovered,Manual review repairs the degraded path without losing lineage.,no,Recovery path is settled on the same lineage,exception.review_case.recovered event,CommandSettlementRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_FALLBACK_REVIEW_CASE__RECOVERED__CLOSED,SM_FALLBACK_REVIEW_CASE,FallbackReviewCase.patientVisibleState,canonical_shared_control,phase_0_foundation,case_local,recovered,closed,Recovered case is acknowledged and no longer blocks closure.,no,Recovery is durable and any downstream blocker has been cleared or superseded,FallbackReviewClosureRecord,RequestClosureRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__RELEASING,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; callback_and_messaging; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,lease,active,releasing,Current owner intentionally releases the lease.,no,Compare-and-set on current ownershipEpoch and fencingToken succeeds,RequestLifecycleLease; LeaseReleaseRecord,StaleOwnershipRecoveryRecord,,"Any active, releasing, expired, or broken lease blocks closure",phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_LIFECYCLE_LEASE__RELEASING__RELEASED,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; callback_and_messaging; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,lease,releasing,released,Release is durably committed or replaced by a newer lease.,no,Replacement lease or release settlement is current,LeaseTakeoverRecord | LeaseReleaseRecord,LeaseTakeoverRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__EXPIRED,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; callback_and_messaging; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,lease,active,expired,Heartbeat misses the TTL.,no,No supervised release or takeover has yet settled,StaleOwnershipRecoveryRecord(recoveryReason = heartbeat_missed),StaleOwnershipRecoveryRecord,stale_owner_recovery,Expired lease remains closure-blocking until recovered,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_LIFECYCLE_LEASE__ACTIVE__BROKEN,SM_REQUEST_LIFECYCLE_LEASE,RequestLifecycleLease.state,canonical_shared_control,phase_0_foundation; phase_3_human_checkpoint; callback_and_messaging; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,lease,active,broken,A stale write or supervised takeover breaks the lease.,no,Write fence mismatch or takeover authorization exists,StaleOwnershipRecoveryRecord; LeaseTakeoverRecord,StaleOwnershipRecoveryRecord; LeaseTakeoverRecord,stale_owner_recovery,Broken lease remains closure-blocking until resolved,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_REQUEST_CLOSURE_DECISION__DEFER__CLOSE,SM_REQUEST_CLOSURE_DECISION,RequestClosureRecord.decision,canonical_shared_control,phase_0_foundation,gate,defer,close,A later coordinator evaluation finds the blocker set empty on the required lineage epoch.,yes,"blockingLeaseRefs, blockingDuplicateClusterRefs, blockingFallbackCaseRefs, blockingIdentityRepairRefs, blockingGrantRefs, blockingReachabilityRefs, blockingConfirmationRefs, and blockingReconciliationRefs are all empty; requiredLineageEpoch matches the current LineageFence",RequestClosureRecord(decision = close); request.closure_blockers.changed -> empty,DuplicateCluster; FallbackReviewCase; IdentityBinding; AccessGrant; ExternalConfirmationGate,,,phase-0-the-foundation-protocol.md#1.12 RequestClosureRecord; forensic-audit-findings.md#Finding 71 - Closure evaluation did not explicitly assert empty coordinator-materialized blocker sets,
SM_CAPACITY_RESERVATION_STATE__NONE__SOFT_SELECTED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,none,soft_selected,A candidate is selected but no real exclusivity exists yet.,no,Selection context exists on the current candidate set,OfferSession | AlternativeOfferSession,ReservationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__SOFT_SELECTED__HELD,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,soft_selected,held,A true exclusive hold is acquired.,no,CapacityIdentity is strong enough for exclusivity; commitMode = exclusive_hold,CapacityReservation(state = held),ReservationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__SOFT_SELECTED__PENDING_CONFIRMATION,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,soft_selected,pending_confirmation,The system is confirming a nonexclusive or weakly-held selection.,no,Visible claim remains truthful and not exclusive,ReservationTruthProjection(truthState = pending_confirmation),ReservationTruthProjection; CommandSettlementRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__HELD__PENDING_CONFIRMATION,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,held,pending_confirmation,Commit begins and waits for authoritative booking confirmation.,no,Current reservation version remains live,BookingTransaction; ReservationTruthProjection(truthState = pending_confirmation),BookingTransaction; ReservationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__PENDING_CONFIRMATION__CONFIRMED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,pending_confirmation,confirmed,Authoritative confirmation lands for the same reservation lineage.,no,External confirmation gate or strong proof is satisfied,BookingConfirmationTruthProjection(confirmationTruthState = confirmed),ExternalConfirmationGate; BookingConfirmationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__HELD__RELEASED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,held,released,The hold is intentionally released.,no,Supersession or cancellation reason is current,CapacityReservation(releasedAt != null),ReservationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__HELD__EXPIRED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,held,expired,A real hold TTL expires.,no,expiresAt has passed,CapacityReservation(state = expired),ReservationTruthProjection,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_CAPACITY_RESERVATION_STATE__PENDING_CONFIRMATION__DISPUTED,SM_CAPACITY_RESERVATION_STATE,CapacityReservation.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon,settlement,pending_confirmation,disputed,Confirmation evidence becomes contradictory or stale on the same reservation version.,no,Reservation truth-basis check fails or competing evidence exists,ReservationTruthProjection(truthState = disputed); ExternalConfirmationGate(state = disputed),ReservationTruthProjection; ExternalConfirmationGate,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__CONFIRMED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,gate,pending,confirmed,Required hard matches pass and corroboration reaches the confirmation threshold.,no,Every required hard match passes; Weak/manual paths have corroboration from at least two source families,confirmation.gate.confirmed event; GateEvidenceBundle,BookingTransaction; HubCommitAttempt; PharmacyDispatchAttempt,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__EXPIRED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,gate,pending,expired,The confirmation deadline passes without sufficient corroboration.,no,confirmationDeadlineAt is reached before confirmation threshold,confirmation.gate.expired event,BookingCase; HubCoordinationCase; PharmacyCase,reconciliation_required,Gate remains a closure blocker until reviewed or superseded,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__DISPUTED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,gate,pending,disputed,Contradictory evidence or competing gates prevent safe confirmation.,no,"Hard-match failure, contradictory evidence, or competing-gate ambiguity exists",confirmation.gate.disputed event; NegativeEvidenceBundle,BookingCase; HubCoordinationCase; PharmacyDispatchAttempt,review_required,Gate remains a closure blocker until resolved or downgraded under policy,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_EXTERNAL_CONFIRMATION_GATE__PENDING__CANCELLED,SM_EXTERNAL_CONFIRMATION_GATE,ExternalConfirmationGate.state,canonical_shared_control,phase_0_foundation; phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,gate,pending,cancelled,The owning branch is cancelled or superseded before confirmation completes.,no,Owning branch has a newer authoritative attempt or termination reason,confirmation.gate.cancelled event,BookingTransaction; HubCommitAttempt; PharmacyDispatchAttempt,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ROUTE_INTENT_BINDING__LIVE__STALE,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,canonical_shared_control,phase_0_foundation; all_live_routes,gate,live,stale,"Session, subject binding, manifest, or release tuple drifts from the bound target tuple.",no,Current authoritative tuple no longer matches routeIntentTupleHash,RouteIntentDriftAssessment; ReleaseRecoveryDisposition,Session; AudienceSurfaceRuntimeBinding,same-shell stale_recoverable,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ROUTE_INTENT_BINDING__STALE__RECOVERY_ONLY,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,canonical_shared_control,phase_0_foundation; all_live_routes,gate,stale,recovery_only,A stale route can no longer safely remain writable or read-only under the old tuple.,no,Fresh explicit disambiguation or reissue is still pending,RouteIntentBinding(bindingState = recovery_only),CommandSettlementRecord,recovery_only,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_ROUTE_INTENT_BINDING__LIVE__SUPERSEDED,SM_ROUTE_INTENT_BINDING,RouteIntentBinding.bindingState,canonical_shared_control,phase_0_foundation; all_live_routes,gate,live,superseded,A new route intent replaces the prior tuple.,no,Replacement route intent is authoritative,RouteIntentSupersessionRecord,CommandActionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__PROJECTION_PENDING,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,projection_pending,Command applied but downstream projection visibility has not yet caught up.,no,Action record is immutable and current,CommandSettlementRecord(result = projection_pending),CommandActionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__AWAITING_EXTERNAL,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,awaiting_external,External evidence or acceptance is required before settlement can calm down.,no,The same action chain is still live,CommandSettlementRecord(result = awaiting_external),ExternalConfirmationGate,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__REVIEW_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,review_required,Authoritative review is required before safe completion.,no,Review reason is authoritative,CommandSettlementRecord(result = review_required),ApprovalCheckpoint; DuplicateCluster,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__STALE_RECOVERABLE,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,stale_recoverable,The bound tuple or context has drifted but same-shell recovery is still legal.,no,sameShellRecoveryRef exists,CommandSettlementRecord(result = stale_recoverable),RouteIntentBinding; ReleaseRecoveryDisposition,same-shell recovery,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__AWAITING_EXTERNAL__RECONCILIATION_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,awaiting_external,reconciliation_required,External evidence is contradictory or insufficient for calm final truth.,no,Current external evidence cannot settle the same action chain,CommandSettlementRecord(result = reconciliation_required),ExternalConfirmationGate,reconciliation review,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PROJECTION_PENDING__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,projection_pending,settled,Projection visibility and authoritative proof converge on the same action chain.,no,authoritativeProofClass is sufficient; Any required command-following projection is current,CommandSettlementRecord(authoritativeOutcomeState = settled),TransitionEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__AWAITING_EXTERNAL__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,awaiting_external,settled,External proof settles the same action chain authoritatively.,no,authoritativeProofClass is external_confirmation | review_disposition | recovery_disposition,CommandSettlementRecord(authoritativeOutcomeState = settled),ExternalConfirmationGate; TransitionEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__REVIEW_REQUIRED__RECOVERY_REQUIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,review_required,recovery_required,Review outcome proves the route can only continue through bounded recovery.,no,sameShellRecoveryRef is authoritative,CommandSettlementRecord(authoritativeOutcomeState = recovery_required),ReleaseRecoveryDisposition,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__RECONCILIATION_REQUIRED__SETTLED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,reconciliation_required,settled,Reconciliation resolves the same action chain under the current tuple.,no,Supersession has not moved the action onto a new chain,CommandSettlementRecord(authoritativeOutcomeState = settled),ExternalConfirmationGate,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__FAILED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,failed,Authoritative failure settles on the same action chain.,no,"Failure is authoritative, not just local acknowledgement",CommandSettlementRecord(authoritativeOutcomeState = failed),CommandActionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__PENDING__EXPIRED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,pending,expired,The command-following freshness deadline expires without safe settlement.,no,staleAfterAt passes,CommandSettlementRecord(authoritativeOutcomeState = expired),TransitionEnvelope,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_COMMAND_SETTLEMENT__SETTLED__SUPERSEDED,SM_COMMAND_SETTLEMENT,CommandSettlementRecord.authoritativeOutcomeState,canonical_shared_control,phase_0_foundation; all_live_routes,settlement,settled,superseded,A later settlement revision or superseding action replaces the prior calm state.,no,supersedesSettlementRef exists,CommandSettlementRecord(authoritativeOutcomeState = superseded),CommandActionRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__READ_ONLY,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,canonical_shared_control,phase_0_foundation; cross_phase_runtime,publication,publishable_live,read_only,The current route remains visible but no longer safely writable.,no,Publication tuple is no longer exact for writable posture,AudienceSurfaceRuntimeBinding(bindingState = read_only); ReleaseRecoveryDisposition,ReleaseRecoveryDisposition; DesignContractPublicationBundle,same-shell read_only,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__RECOVERY_ONLY,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,canonical_shared_control,phase_0_foundation; cross_phase_runtime,publication,publishable_live,recovery_only,"Publication, parity, or continuity drift requires same-shell recovery.",no,surfaceTupleHash no longer matches current runtime truth,AudienceSurfaceRuntimeBinding(bindingState = recovery_only); ReleaseRecoveryDisposition,ReleaseRecoveryDisposition; ExperienceContinuityControlEvidence,same-shell recovery,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__PUBLISHABLE_LIVE__BLOCKED,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,canonical_shared_control,phase_0_foundation; cross_phase_runtime,publication,publishable_live,blocked,"Trust, publication, or freeze posture blocks even read-only safe operation.",no,surfaceAuthorityState is blocked or required trust is not legal,ReleaseTrustFreezeVerdict; AudienceSurfaceRuntimeBinding(bindingState = blocked),ReleaseTrustFreezeVerdict,blocked,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__READ_ONLY__PUBLISHABLE_LIVE,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,canonical_shared_control,phase_0_foundation; cross_phase_runtime,publication,read_only,publishable_live,Exact publication parity and trust posture are restored.,no,coverageState = exact; designContractState = exact; surface authority returns to live,AudienceSurfaceRuntimeBinding(bindingState = publishable_live); ReleasePublicationParityRecord,ReleasePublicationParityRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
SM_AUDIENCE_SURFACE_RUNTIME_BINDING__RECOVERY_ONLY__PUBLISHABLE_LIVE,SM_AUDIENCE_SURFACE_RUNTIME_BINDING,AudienceSurfaceRuntimeBinding.bindingState,canonical_shared_control,phase_0_foundation; cross_phase_runtime,publication,recovery_only,publishable_live,Recovery path revalidates the route tuple and publication parity.,no,Required continuity evidence and publication tuple are current again,AudienceSurfaceRuntimeBinding(bindingState = publishable_live); ExperienceContinuityControlEvidence,ExperienceContinuityControlEvidence; ReleasePublicationParityRecord,,,phase-0-the-foundation-protocol.md; forensic-audit-findings.md,
