environment_ring,boundary_ref,boundary_class,boundary_state,source_trust_zone_ref,target_trust_zone_ref,source_family_refs,target_family_refs,allowed_protocol_refs,allowed_identity_refs,tenant_transfer_mode,assurance_trust_transfer_mode,egress_allowlist_ref,browser_path_state,enforcement_refs,notes
preprod,tzb_assurance_security_to_stateful_data,declared_boundary,allowed,tz_assurance_security,tz_stateful_data,wf_assurance_security_control,wf_data_stateful_plane,sql_tls;object_api_tls;append_only_api,sid_assurance_control;sid_data_plane,platform_control_with_explicit_tenant_projection_only,restore_tuple_required,eal_assurance_to_internal_planes_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Assurance is the only plane allowed to publish restore and release tuple verdicts into stateful stores.
preprod,block_public_edge_to_command,blocked_crossing,blocked,tz_public_edge,tz_application_core,wf_public_edge_ingress,wf_command_orchestration,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Browser or edge traffic may not bypass published gateway surfaces into command.
preprod,block_public_edge_to_projection,blocked_crossing,blocked,tz_public_edge,tz_application_core,wf_public_edge_ingress,wf_projection_read_models,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Projection reads remain behind declared gateway surfaces; the edge does not query projections directly.
preprod,block_public_edge_to_integration,blocked_crossing,blocked,tz_public_edge,tz_integration_perimeter,wf_public_edge_ingress,wf_integration_dispatch,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Edge traffic may not reach provider or callback runtimes directly.
preprod,block_public_edge_to_data,blocked_crossing,blocked,tz_public_edge,tz_stateful_data,wf_public_edge_ingress,wf_data_stateful_plane,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,No browser- or edge-reachable service may access raw stores directly.
preprod,block_shell_publication_to_command,blocked_crossing,blocked,tz_shell_delivery,tz_application_core,wf_shell_delivery_static_publication,wf_command_orchestration,none,none,forbidden,forbidden,eal_shell_publication_none,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Static publication delivery cannot become a shadow mutation plane.
preprod,block_shell_publication_to_projection,blocked_crossing,blocked,tz_shell_delivery,tz_application_core,wf_shell_delivery_static_publication,wf_projection_read_models,none,none,forbidden,forbidden,eal_shell_publication_none,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Shell assets are bundle-bound and may not query projections directly.
preprod,block_gateway_to_data,blocked_crossing,blocked,tz_published_gateway,tz_stateful_data,wf_shell_delivery_published_gateway,wf_data_stateful_plane,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Gateway surfaces may not bypass command or projection and may never reach raw stores.
preprod,block_gateway_to_live_integration,blocked_crossing,blocked,tz_published_gateway,tz_integration_perimeter,wf_shell_delivery_published_gateway,wf_integration_dispatch,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Gateway surfaces may not dispatch directly to providers or callback runtimes.
preprod,block_gateway_to_simulator,blocked_crossing,blocked,tz_published_gateway,tz_integration_perimeter,wf_shell_delivery_published_gateway,wf_integration_simulation_lab,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Simulators are internal proof twins only and are never browser-addressable.
preprod,block_browser_to_assurance_without_gateway,blocked_crossing,blocked,tz_public_edge,tz_assurance_security,wf_public_edge_ingress,wf_assurance_security_control,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,"Operational, support, and governance browser access reaches assurance slices only through published gateway surfaces."
production,tzb_public_edge_to_shell_delivery,declared_boundary,allowed,tz_public_edge,tz_shell_delivery,wf_public_edge_ingress,wf_shell_delivery_static_publication,https,sid_public_edge_proxy;sid_shell_publication_bundle,tenant_hint_only,publication_parity_only,eal_public_edge_internal_only,published_gateway_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Static delivery remains bundle-bound and may not become a mutable runtime hop.
production,tzb_public_edge_to_published_gateway,declared_boundary,allowed,tz_public_edge,tz_published_gateway,wf_public_edge_ingress,wf_shell_delivery_published_gateway,https;sse;websocket,sid_public_edge_proxy;sid_published_gateway,runtime_binding_and_session_policy_only,published_surface_tuple_only,eal_public_edge_internal_only,published_gateway_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,This is the only browser-to-compute bridge beyond the edge.
production,tzb_published_gateway_to_application_core,declared_boundary,allowed,tz_published_gateway,tz_application_core,wf_shell_delivery_published_gateway,wf_command_orchestration;wf_projection_read_models,https;grpc,sid_published_gateway;sid_command_api;sid_projection_worker,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,eal_gateway_internal_only,published_gateway_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Gateway surfaces may read projections and submit commands only through declared bridge placeholders.
production,tzb_published_gateway_to_assurance_security,declared_boundary,allowed,tz_published_gateway,tz_assurance_security,wf_shell_delivery_published_gateway,wf_assurance_security_control,https;grpc,sid_published_gateway;sid_assurance_control,explicit_scope_tuple_or_platform_scope_only,assurance_slice_tuple_only,eal_gateway_internal_only,published_gateway_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,"Support replay, operations drilldown, and governance shells may query assurance slices without bypassing the control plane."
production,tzb_application_core_to_stateful_data,declared_boundary,allowed,tz_application_core,tz_stateful_data,wf_command_orchestration;wf_projection_read_models,wf_data_stateful_plane,sql_tls;object_api_tls;queue_tls;cache_tls,sid_command_api;sid_projection_worker;sid_data_plane,tenant_tuple_on_every_key_or_record,restore_tuple_required,eal_data_internal_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Data-plane access is internal-only and tuple-bound.
production,tzb_application_core_to_integration_perimeter,declared_boundary,allowed,tz_application_core,tz_integration_perimeter,wf_command_orchestration,wf_integration_dispatch;wf_integration_simulation_lab,queue_dispatch;outbox_checkpoint,sid_command_api;sid_integration_dispatch;sid_adapter_simulators,effect_scope_and_tenant_tuple_preserved,checkpoint_receipt_required,eal_command_to_internal_planes_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Command handoff into integration always passes through durable queues or simulator contracts.
production,tzb_application_core_to_assurance_security,declared_boundary,allowed,tz_application_core,tz_assurance_security,wf_command_orchestration;wf_projection_read_models,wf_assurance_security_control,grpc;https;audit_append,sid_command_api;sid_projection_worker;sid_assurance_control,tenant_tuple_plus_scope_hash_required,assurance_slice_verdict_required,eal_assurance_to_internal_planes_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Mutation and projection planes both depend on exact assurance slices before live widening.
production,tzb_integration_perimeter_to_stateful_data,declared_boundary,allowed,tz_integration_perimeter,tz_stateful_data,wf_integration_dispatch;wf_integration_simulation_lab,wf_data_stateful_plane,queue_tls;sql_tls;object_api_tls,sid_integration_dispatch;sid_adapter_simulators;sid_data_plane,effect_scope_and_supplier_correlation_only,receipt_or_checkpoint_required,eal_data_internal_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Provider outcomes settle through durable state before they can affect user-visible posture.
production,tzb_integration_perimeter_to_assurance_security,declared_boundary,allowed,tz_integration_perimeter,tz_assurance_security,wf_integration_dispatch;wf_integration_simulation_lab,wf_assurance_security_control,audit_append;https,sid_integration_dispatch;sid_adapter_simulators;sid_assurance_control,tenant_tuple_plus_dependency_code_only,dependency_slice_verdict_required,eal_assurance_to_internal_planes_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Integration failures widen only through explicit assurance tuples and watch publication.
production,tzb_assurance_security_to_stateful_data,declared_boundary,allowed,tz_assurance_security,tz_stateful_data,wf_assurance_security_control,wf_data_stateful_plane,sql_tls;object_api_tls;append_only_api,sid_assurance_control;sid_data_plane,platform_control_with_explicit_tenant_projection_only,restore_tuple_required,eal_assurance_to_internal_planes_only,internal_only,terraform_core_network;terraform_workload_segments;terraform_private_egress_policy,Assurance is the only plane allowed to publish restore and release tuple verdicts into stateful stores.
production,block_public_edge_to_command,blocked_crossing,blocked,tz_public_edge,tz_application_core,wf_public_edge_ingress,wf_command_orchestration,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Browser or edge traffic may not bypass published gateway surfaces into command.
production,block_public_edge_to_projection,blocked_crossing,blocked,tz_public_edge,tz_application_core,wf_public_edge_ingress,wf_projection_read_models,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Projection reads remain behind declared gateway surfaces; the edge does not query projections directly.
production,block_public_edge_to_integration,blocked_crossing,blocked,tz_public_edge,tz_integration_perimeter,wf_public_edge_ingress,wf_integration_dispatch,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Edge traffic may not reach provider or callback runtimes directly.
production,block_public_edge_to_data,blocked_crossing,blocked,tz_public_edge,tz_stateful_data,wf_public_edge_ingress,wf_data_stateful_plane,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,No browser- or edge-reachable service may access raw stores directly.
production,block_shell_publication_to_command,blocked_crossing,blocked,tz_shell_delivery,tz_application_core,wf_shell_delivery_static_publication,wf_command_orchestration,none,none,forbidden,forbidden,eal_shell_publication_none,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Static publication delivery cannot become a shadow mutation plane.
production,block_shell_publication_to_projection,blocked_crossing,blocked,tz_shell_delivery,tz_application_core,wf_shell_delivery_static_publication,wf_projection_read_models,none,none,forbidden,forbidden,eal_shell_publication_none,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Shell assets are bundle-bound and may not query projections directly.
production,block_gateway_to_data,blocked_crossing,blocked,tz_published_gateway,tz_stateful_data,wf_shell_delivery_published_gateway,wf_data_stateful_plane,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Gateway surfaces may not bypass command or projection and may never reach raw stores.
production,block_gateway_to_live_integration,blocked_crossing,blocked,tz_published_gateway,tz_integration_perimeter,wf_shell_delivery_published_gateway,wf_integration_dispatch,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Gateway surfaces may not dispatch directly to providers or callback runtimes.
production,block_gateway_to_simulator,blocked_crossing,blocked,tz_published_gateway,tz_integration_perimeter,wf_shell_delivery_published_gateway,wf_integration_simulation_lab,none,none,forbidden,forbidden,eal_gateway_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,Simulators are internal proof twins only and are never browser-addressable.
production,block_browser_to_assurance_without_gateway,blocked_crossing,blocked,tz_public_edge,tz_assurance_security,wf_public_edge_ingress,wf_assurance_security_control,none,none,forbidden,forbidden,eal_public_edge_internal_only,forbidden,terraform_core_network;trust_zone_boundary_matrix;local_network_policy_manifest,"Operational, support, and governance browser access reaches assurance slices only through published gateway surfaces."
